input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:logical_values,counter:active_values,counter:selected_values,counter:encoded_bytes,counter:native_fragment_values
gnr,composition/avx2/local/k31/h0/u32/all/materialized,1,5,"[2069.4760103818985,2073.088320355949,2069.7307749351216,2073.263136818699,2069.2283203559596]",2069.7307749351216,"[2071.144738598205,2073.8585168705645,2069.949707082151,2075.0978568776964,2070.584412308689]",2071.144738598205,"[0.2526215832985716,0.2530625391059508,0.25265268248719747,0.25308387900618884,0.2525913476997021]",0.25265268248719747,8192.0,8192.0,5844.0,31744.0,
gnr,composition/avx2/local/k31/h0/u32/prefilter75/authored,1,5,"[2291.9667491633736,2289.8638064150136,2290.005114248372,2294.0775852854513,2294.561070867695]",2291.9667491633736,"[2292.704574044067,2290.478527557511,2290.2851070117304,2294.6383930408506,2294.922126935481]",2292.704574044067,"[0.2797810973099822,0.2795243904315202,0.279541639922897,0.28003876773504044,0.2800977869711542]",0.2797810973099822,8192.0,6144.0,4401.0,31744.0,8.0
gnr,composition/avx2/local/k31/h0/u32/prefilter75/authored-u64-carrier,1,5,"[1750.5852141004154,1754.0687978546257,1753.8088572538622,1754.2413689394637,1753.2745711099274]",1753.8088572538622,"[1750.822754671209,1754.3521660686235,1754.1451897898723,1754.5771688864786,1753.491177833101]",1754.1451897898723,"[0.21369448414311712,0.2141197263006135,0.21408799527024683,0.21414079210686815,0.2140227747936923]",0.21408799527024683,8192.0,6144.0,4401.0,31744.0,8.0
gnr,composition/avx2/local/k31/h0/u32/prefilter75/direct,1,5,"[2313.140871153917,2315.7851264377427,2319.3425735996248,2318.2725158825674,2315.002433251678]",2315.7851264377427,"[2313.5792550761976,2316.095586097985,2319.804642278564,2318.769156667018,2315.2437237884146]",2316.095586097985,"[0.28236582899828094,0.28268861406710727,0.28312287275386044,0.2829922504739462,0.28259307046529275]",0.28268861406710727,8192.0,6144.0,4401.0,31744.0,8.0
gnr,composition/avx2/local/k31/h0/u32/prefilter75/materialized,1,5,"[2157.572764312192,2160.4751265047653,2160.374069025014,2160.0623628087706,2159.9914893289374]",2160.0623628087706,"[2158.1518827455543,2161.1262968184496,2160.6930844061562,2160.4219983521934,2160.6247910852544]",2160.6247910852544,"[0.26337558158107804,0.26372987384091373,0.26371753772278,0.263679487647555,0.2636708360997238]",0.263679487647555,8192.0,6144.0,4401.0,31744.0,
gnr,composition/avx512/local/k12/h0/u16/all/authored,1,5,"[2883.782401133425,2885.832060284986,2884.1117818570165,2879.0774300850044,2881.387807482238]",2883.782401133425,"[2884.5202045095193,2886.4017802142935,2884.459385650885,2879.491335060037,2882.348599647689]",2884.459385650885,"[0.3520242188883576,0.352274421421507,0.35206442649621783,0.3514498816021734,0.3517319100930466]",0.3520242188883576,8192.0,8192.0,5945.0,12288.0,8.0
gnr,composition/avx512/local/k12/h0/u16/all/authored-u64-carrier,1,5,"[2135.5196538899263,2135.7450760265983,2134.6525916252385,2136.477909898364,2132.7439686576313]",2135.5196538899263,"[2136.7789386051354,2135.9872919861773,2135.3005781230845,2137.4108873459277,2132.9477474575615]",2135.9872919861773,"[0.26068355150023514,0.2607110688509031,0.26057770893862775,0.2608005261106401,0.2603447227365273]",0.26068355150023514,8192.0,8192.0,5945.0,12288.0,8.0
gnr,composition/avx512/local/k12/h0/u16/all/direct,1,5,"[2895.9706935378595,2900.089133570636,2902.6772553211085,2894.861593383232,2898.809383464265]",2898.809383464265,"[2896.5121262759108,2900.3961872530404,2903.416755740871,2895.7914197662585,2899.3753178150805]",2899.3753178150805,"[0.35351204755100823,0.3540147868128218,0.35433071964368995,0.353376659348539,0.3538585673174152]",0.3538585673174152,8192.0,8192.0,5945.0,12288.0,8.0
gnr,composition/avx512/local/k12/h0/u16/all/grouped32-authored-probe,1,5,"[1068.3828773357736,1067.8768577088767,1067.8889963973807,1066.879347402089,1069.146169084959]",1067.8889963973807,"[1068.5999663452553,1076.804671903139,1068.2810140815673,1067.1573593185678,1069.6535425541658]",1068.5999663452553,"[0.13041783170602705,0.13035606173204062,0.13035754350553963,0.1302342953371691,0.1305110069683788]",0.13035754350553963,8192.0,8192.0,5945.0,12288.0,32.0
gnr,composition/avx512/local/k12/h0/u16/all/grouped32-authored-u64-carrier-probe,1,5,"[868.1770126391206,868.7202535247877,868.0336795738692,867.636032937188,868.1797470938536]",868.1770126391206,"[868.8759318492182,869.1405924238513,868.2987299016402,867.7305355693944,868.4061655155346]",868.4061655155346,"[0.1059786392381739,0.10604495282285006,0.10596114252610708,0.10591260167690282,0.10597897303391765]",0.1059786392381739,8192.0,8192.0,5945.0,12288.0,32.0
