scope,case,best_ordinary,ordinary_ns,best_retained_prior,prior_ns,ratio,same_wire
small,striped/k19/h16/u64/encode,bulk/series/avx512/striped/k19/h16/u64/encode,0.10237341428357899,bulk/calico/striped/k19/h0/u64/encode,0.06656859936124854,1.5378634260881483,False
small,striped/k20/h16/u64/encode,bulk/series/avx512/striped/k20/h16/u64/encode,0.10003503204348546,bulk/calico/striped/k20/h0/u64/encode,0.06564733277448948,1.5238247742238666,False
small,striped/k21/h16/u64/encode,bulk/series/avx512/striped/k21/h16/u64/encode,0.1032464650688665,bulk/calico/striped/k21/h0/u64/encode,0.06839813107667622,1.5094924882249243,False
small,striped/k22/h16/u64/encode,bulk/series/avx512/striped/k22/h16/u64/encode,0.10018696707662549,bulk/calico/striped/k22/h0/u64/encode,0.06642380241725473,1.5082991853926173,False
small,striped/k23/h16/u64/encode,bulk/series/avx512/striped/k23/h16/u64/encode,0.10300923065183526,bulk/calico/striped/k23/h0/u64/encode,0.06807464678737017,1.5131805380288286,False
small,striped/k26/h16/u64/encode,bulk/series/avx512/striped/k26/h16/u64/encode,0.10966201480716516,bulk/calico/striped/k26/h0/u64/encode,0.08535926934546624,1.2847112639090288,False
small,striped/k28/h16/u64/encode,bulk/series/avx512/striped/k28/h16/u64/encode,0.10910316098200373,bulk/calico/striped/k28/h0/u64/encode,0.08527655273884135,1.2794039800850199,False
small,striped/k30/h16/u64/encode,bulk/series/avx512/striped/k30/h16/u64/encode,0.11222079713570238,bulk/calico/striped/k30/h0/u64/encode,0.08638877922142346,1.299020522654554,False
small,striped/k31/h16/u64/encode,bulk/series/avx512/striped/k31/h16/u64/encode,0.11090067980281196,bulk/calico/striped/k31/h0/u64/encode,0.08833446682221612,1.2554632839524926,False
small,striped/k36/h16/u64/encode,bulk/series/avx512/striped/k36/h16/u64/encode,0.12030121365753435,bulk/calico/striped/k36/h0/u64/encode,0.08622250756404581,1.3952414173082937,False
bulk,local/k16/h16/u64/encode,bulk/series/avx512/local/k16/h16/u64/encode,0.09054891336661314,bulk/calico/striped/k16/h0/u64/encode,0.0690965142006364,1.3104700637095115,False
bulk,local/k17/h16/u64/encode,bulk/series/avx2/local/k17/h16/u64/encode,0.13193352307432518,bulk/calico/local/k17/h0/u64/encode,0.06827063407247046,1.9325076567221489,False
bulk,local/k18/h16/u64/encode,bulk/series/avx512/local/k18/h16/u64/encode,0.13206661639727893,bulk/calico/striped/k18/h0/u64/encode,0.06643666522474731,1.9878573969736941,False
bulk,local/k19/h16/u64/encode,bulk/series/avx512/local/k19/h16/u64/encode,0.13278490703481777,bulk/calico/local/k19/h0/u64/encode,0.07031067380008646,1.888545506082954,False
bulk,local/k20/h16/u64/encode,bulk/series/avx2/local/k20/h16/u64/encode,0.13204119824814795,bulk/calico/striped/k20/h0/u64/encode,0.06575039066239335,2.008219219960777,False
bulk,local/k21/h16/u64/encode,bulk/series/avx512/local/k21/h16/u64/encode,0.1341572305117972,bulk/calico/striped/k21/h0/u64/encode,0.06989186299877552,1.9194971310772986,False
bulk,local/k22/h16/u64/encode,bulk/series/avx512/local/k22/h16/u64/encode,0.13534426856044485,bulk/calico/striped/k22/h0/u64/encode,0.06866277969017573,1.9711446167946198,False
bulk,local/k23/h16/u64/encode,bulk/series/avx512/local/k23/h16/u64/encode,0.13622871439952333,bulk/calico/striped/k23/h0/u64/encode,0.06855237950643017,1.9872207993414024,False
