condition,family,variant,bytes,k,stride,train,ahead,rep,n,p10,median,p90
isolated,tlb,packed-base,4096,1,0,0,0,2,3,1.73179,1.73208,1.73208
isolated,tlb,sparse-base,131072,1,0,0,0,0,3,1.73272,1.73449,1.73449
isolated,tlb,sparse-base,131072,1,0,0,0,1,3,1.73186,1.73254,1.73254
isolated,tlb,sparse-base,131072,1,0,0,0,2,3,1.7321,1.73252,1.73252
isolated,tlb,packed-base,4096,1,0,0,0,0,3,1.76395,1.76556,1.76556
isolated,tlb,packed-base,4096,1,0,0,0,1,3,1.76357,1.76368,1.76368
isolated,tlb,packed-base,4096,1,0,0,0,2,3,1.76387,1.76591,1.76591
isolated,tlb,sparse-base,262144,1,0,0,0,0,3,1.76176,1.77224,1.77224
isolated,tlb,sparse-base,262144,1,0,0,0,1,3,1.76522,1.76669,1.76669
isolated,tlb,sparse-base,262144,1,0,0,0,2,3,1.76439,1.76442,1.76442
isolated,tlb,packed-base,8192,1,0,0,0,0,3,1.76482,1.76871,1.76871
isolated,tlb,packed-base,8192,1,0,0,0,1,3,1.76379,1.76476,1.76476
isolated,tlb,packed-base,8192,1,0,0,0,2,3,1.76391,1.76632,1.76632
isolated,tlb,sparse-base,524288,1,0,0,0,0,3,3.78673,3.78803,3.78803
isolated,tlb,sparse-base,524288,1,0,0,0,1,3,3.78561,3.79097,3.79097
isolated,tlb,sparse-base,524288,1,0,0,0,2,3,3.78727,3.78887,3.78887
isolated,tlb,packed-base,16384,1,0,0,0,0,3,1.76446,1.76499,1.76499
isolated,tlb,packed-base,16384,1,0,0,0,1,3,1.76379,1.76387,1.76387
isolated,tlb,packed-base,16384,1,0,0,0,2,3,1.76393,1.76393,1.76393
isolated,tlb,sparse-base,1048576,1,0,0,0,0,3,3.78836,3.79924,3.79924
isolated,tlb,sparse-base,1048576,1,0,0,0,1,3,3.78555,3.7907,3.7907
isolated,tlb,sparse-base,1048576,1,0,0,0,2,3,3.78799,3.79093,3.79093
isolated,tlb,packed-base,32768,1,0,0,0,0,3,1.76554,1.76558,1.76558
isolated,tlb,packed-base,32768,1,0,0,0,1,3,1.76878,1.76996,1.76996
isolated,tlb,packed-base,32768,1,0,0,0,2,3,1.76521,1.76634,1.76634
isolated,tlb,sparse-base,2097152,1,0,0,0,0,3,3.7902,3.80051,3.80051
isolated,tlb,sparse-base,2097152,1,0,0,0,1,3,3.78798,3.7946,3.7946
isolated,tlb,sparse-base,2097152,1,0,0,0,2,3,3.78802,3.78949,3.78949
isolated,tlb,packed-base,65536,1,0,0,0,0,3,4.35634,4.3627,4.3627
isolated,tlb,packed-base,65536,1,0,0,0,1,3,4.3387,4.3418,4.3418
isolated,tlb,packed-base,65536,1,0,0,0,2,3,4.33654,4.33735,4.33735
isolated,tlb,sparse-base,4194304,1,0,0,0,0,3,6.39537,6.40349,6.40349
isolated,tlb,sparse-base,4194304,1,0,0,0,1,3,6.39582,6.40378,6.40378
isolated,tlb,sparse-base,4194304,1,0,0,0,2,3,6.38182,6.3821,6.3821
isolated,tlb,packed-base,131072,1,0,0,0,0,3,4.35447,4.36556,4.36556
isolated,tlb,packed-base,131072,1,0,0,0,1,3,4.35246,4.35658,4.35658
isolated,tlb,packed-base,131072,1,0,0,0,2,3,4.35274,4.35585,4.35585
isolated,tlb,sparse-base,8388608,1,0,0,0,0,3,10.2711,10.287,10.287
isolated,tlb,sparse-base,8388608,1,0,0,0,1,3,10.1915,10.2355,10.2355
isolated,tlb,sparse-base,8388608,1,0,0,0,2,3,10.1381,10.2047,10.2047
isolated,tlb,packed-base,262144,1,0,0,0,0,3,4.35509,4.37714,4.37714
isolated,tlb,packed-base,262144,1,0,0,0,1,3,4.35521,4.36031,4.36031
isolated,tlb,packed-base,262144,1,0,0,0,2,3,4.3535,4.35396,4.35396
isolated,tlb,sparse-base,16777216,1,0,0,0,0,3,23.7601,23.8678,23.8678
isolated,tlb,sparse-base,16777216,1,0,0,0,1,3,23.7374,23.7388,23.7388
isolated,tlb,sparse-base,16777216,1,0,0,0,2,3,23.7185,23.739,23.739
isolated,tlb,packed-base,524288,1,0,0,0,0,3,5.38312,5.40083,5.40083
isolated,tlb,packed-base,524288,1,0,0,0,1,3,5.37981,5.38198,5.38198
isolated,tlb,packed-base,524288,1,0,0,0,2,3,5.37931,5.38058,5.38058
isolated,tlb,sparse-base,33554432,1,0,0,0,0,3,30.6988,30.8548,30.8548
isolated,tlb,sparse-base,33554432,1,0,0,0,1,3,30.7017,30.8225,30.8225
isolated,tlb,sparse-base,33554432,1,0,0,0,2,3,30.7397,30.9141,30.9141
isolated,spatial,offset-parity0:cold,33554432,0,1,1,8,0,120,107.592,118.627,186.906
isolated,spatial,offset-parity0:trained,33554432,0,1,1,8,0,120,20.6907,21.3804,21.3804
isolated,spatial,offset-parity0:hot,33554432,0,1,1,8,0,120,20.6907,21.3804,21.3804
isolated,spatial,offset-parity0:cold,33554432,0,1,1,8,1,120,108.282,120.006,185.527
isolated,spatial,offset-parity0:trained,33554432,0,1,1,8,1,120,20.6907,21.3804,21.3804
isolated,spatial,offset-parity0:hot,33554432,0,1,1,8,1,120,20.6907,21.3804,22.0701
isolated,spatial,offset-parity0:cold,33554432,0,1,1,8,2,120,106.902,116.558,144.835
isolated,spatial,offset-parity0:trained,33554432,0,1,1,8,2,120,20.6907,21.3804,21.3804
