transport,percentile,criterion,observed,baseline_us,limit_us,maximum_observed_stable_rps,goodput_rps,throughput_sacrificed_pct,latency_us,latency_repeat_min_us,latency_repeat_max_us,repetitions,chosen_transport,window,batch,wait_us,rate,samples
tcp,p999,within_25pct,True,761.2409819999995,951.5512274999993,128881.01405550218,7500.633954099199,94.18018704378825,858.4599760000018,826.538758999998,871.4661379999992,3,tcp,64,4,50,7500,337497
tcp,p999,below_1ms,True,761.2409819999995,1000,128881.01405550218,128881.01405550218,0.0,987.3450500000008,894.4955580000002,1018.6610999999998,3,tcp,16,64,50,128800,5613976
udp,p50,within_10pct,True,430.119,473.13090000000005,128164.30258225204,3792.643759893671,97.04079553863319,430.119,398.568,440.59749999999997,3,udp,64,1,50,3800,171135
udp,p50,within_25pct,True,430.119,537.6487500000001,128164.30258225204,7500.611729076668,94.14765923275476,534.592,488.6925,570.319,3,udp,64,4,50,7500,337497
udp,p50,below_1ms,True,430.119,1000,128164.30258225204,128164.30258225204,0.0,751.513,661.668,895.592,3,udp,64,4,50,128200,5615254
udp,p90,within_10pct,True,496.07829999999996,545.68613,128164.30258225204,1000.1833044767915,99.21960851475401,496.07829999999996,406.0646,529.7294,3,udp,16,1,0,1000,44990
udp,p90,within_25pct,True,496.07829999999996,620.0978749999999,128164.30258225204,3792.643759893671,97.04079553863319,546.4432,530.9014999999999,569.982,3,udp,64,1,50,3800,171135
udp,p90,below_1ms,True,496.07829999999996,1000,128164.30258225204,128164.30258225204,0.0,942.264,726.495,991.9336999999999,3,udp,64,4,50,128200,5615254
udp,p99,within_10pct,True,593.51811,652.869921,128164.30258225204,1000.1833044767915,99.21960851475401,593.51811,542.7668600000001,619.7986399999988,3,udp,16,1,0,1000,44990
udp,p99,within_25pct,True,593.51811,741.8976375,128164.30258225204,3792.643759893671,97.04079553863319,659.3448400000001,642.3523399999999,675.2669500000001,3,udp,64,1,50,3800,171135
udp,p99,below_1ms,True,593.51811,1000,128164.30258225204,7500.611729076668,94.14765923275476,773.23812,730.2076500000001,809.0222199999995,3,udp,64,4,50,7500,337497
udp,p999,within_10pct,True,700.568077,770.6248847,128164.30258225204,3792.643759893671,97.04079553863319,740.2705080000012,721.3793080000016,760.4369500000015,3,udp,64,1,50,3800,171135
udp,p999,within_25pct,True,700.568077,875.71009625,128164.30258225204,7500.611729076668,94.14765923275476,855.0694880000019,795.5845709999988,903.6023800000011,3,udp,64,4,50,7500,337497
udp,p999,below_1ms,True,700.568077,1000,128164.30258225204,7500.611729076668,94.14765923275476,855.0694880000019,795.5845709999988,903.6023800000011,3,udp,64,4,50,7500,337497
either,p50,within_10pct,True,412.73749999999995,454.01124999999996,128881.01405550218,3995.9221243497177,96.89952616090615,450.596,334.766,468.755,3,tcp,64,1,50,4000,180031
either,p50,within_25pct,True,412.73749999999995,515.921875,128881.01405550218,3995.9221243497177,96.89952616090615,450.596,334.766,468.755,3,tcp,64,1,50,4000,180031
either,p50,below_1ms,True,412.73749999999995,1000,128881.01405550218,128881.01405550218,0.0,755.047,749.616,763.819,3,tcp,16,64,50,128800,5613976
either,p90,within_10pct,True,486.3444999999999,534.9789499999999,128881.01405550218,1000.1833044767915,99.22394829695702,486.3444999999999,474.8944000000001,502.7192,3,tcp,16,1,0,1000,44990
either,p90,within_25pct,True,486.3444999999999,607.930625,128881.01405550218,3995.9221243497177,96.89952616090615,546.163,498.3825,573.6555999999999,3,tcp,64,1,50,4000,180031
either,p90,below_1ms,True,486.3444999999999,1000,128881.01405550218,128881.01405550218,0.0,842.374,828.22,859.831,3,tcp,16,64,50,128800,5613976
either,p99,within_10pct,True,593.51811,652.869921,128881.01405550218,1000.1833044767915,99.22394829695702,593.51811,542.7668600000001,619.7986399999988,3,udp,16,1,0,1000,44990
either,p99,within_25pct,True,593.51811,741.8976375,128881.01405550218,3995.9221243497177,96.89952616090615,669.9917000000002,612.13835,697.6133600000001,3,tcp,64,1,50,4000,180031
either,p99,below_1ms,True,593.51811,1000,128881.01405550218,128881.01405550218,0.0,919.256,871.4507900000001,956.2795999999996,3,tcp,16,64,50,128800,5613976
either,p999,within_10pct,True,700.568077,770.6248847,128881.01405550218,3995.9221243497177,96.89952616090615,764.0116600000001,745.5051150000011,775.1616320000004,3,tcp,64,1,50,4000,180031
either,p999,within_25pct,True,700.568077,875.71009625,128881.01405550218,7500.633954099199,94.18018704378825,858.4599760000018,826.538758999998,871.4661379999992,3,tcp,64,4,50,7500,337497
