input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:body_bytes_per_block,counter:population_per_block,counter:blocks_per_call
neoverse-v2,codec/population248/native_encode_checked_exact,1,5,"[39.03184234293762,39.00667716148165,38.96000134214261,38.95180867751599,38.97760578463726]",38.97760578463726,"[39.03082455095091,39.02423686540534,38.95917927919231,38.95086358626463,38.97654604996772]",38.97654604996772,,,7.10546875,248.0,1.0
neoverse-v2,codec/population248/native_encode_wide,1,5,"[24.8870829434911,24.867047897696576,24.89646754713164,24.91336018875478,24.884155359041813]",24.8870829434911,"[24.898541178978334,24.866485105626364,24.92275721998661,24.922634719973217,24.896909613820235]",24.898541178978334,,,7.10546875,248.0,1.0
neoverse-v2,codec/population248/native_pair_exact_materialized,1,5,"[169.81575380593947,169.6656097974221,169.55619962725018,169.50348524820475,169.63306871261173]",169.63306871261173,"[169.89140063311473,169.66143475909206,169.55179466320158,169.57118135492485,169.85854490863244]",169.66143475909206,,,7.10546875,248.0,2.0
neoverse-v2,codec/population248/native_pair_materialized,1,5,"[165.58760040757682,165.4909722057924,165.80722934389732,165.92808568110664,165.66383906354883]",165.66383906354883,"[165.58337085071773,165.56631044940937,165.80361585526902,165.92401014368338,165.6594199452591]",165.6594199452591,,,7.10546875,248.0,2.0
neoverse-v2,codec/population248/prepare_checked,1,5,"[32.17510021535569,32.150217420254926,32.17643871596014,32.1602550268399,32.1580394983964]",32.1602550268399,"[32.174301247531446,32.14943681935648,32.19177981540411,32.15945376354297,32.15725660244126]",32.15945376354297,,,7.10546875,248.0,1.0
neoverse-v2,codec/population248/spike_decode_padded,1,5,"[84.01391819826226,84.0709557563538,83.99989178074391,84.02152360682985,84.04687096056185]",84.02152360682985,"[84.01169970260752,84.11110509928552,83.99796187013801,84.01939529451217,84.08171755923755]",84.01939529451217,,,7.10546875,248.0,1.0
neoverse-v2,codec/population248/spike_encode_wide,1,5,"[25.925066198720515,25.904747963078442,25.92291115010628,25.90962322782881,25.903804781875166]",25.90962322782881,"[25.924450999948252,25.904066055871414,25.93519288902587,25.909061765569977,25.903230349554754]",25.909061765569977,,,7.10546875,248.0,1.0
neoverse-v2,codec/population248/spike_pair_materialized,1,5,"[166.90357928989962,167.01123313235476,166.89763374484696,167.24576514497002,166.93482629917565]",166.93482629917565,"[166.89910518184925,167.10957986212154,166.89341085197225,182.99129103229325,166.93249354488202]",166.93249354488202,,,7.10546875,248.0,2.0
neoverse-v2,codec/population252/decode_exact,1,5,"[87.98098424155627,88.04187365587728,88.01105479606505,88.02890722273725,88.01875793895918]",88.01875793895918,"[87.97875818952653,88.0811439639318,88.0090551219742,88.02666859358814,88.05102310145939]",88.02666859358814,,,4.0,252.0,1.0
neoverse-v2,codec/population252/decode_padded,1,5,"[85.02410407610519,85.02198243106763,85.09078695401416,85.10084197089522,85.08298732484869]",85.08298732484869,"[85.02175142079302,85.01973312159278,85.08845861779871,85.13604060834923,85.08109668958896]",85.08109668958896,,,4.0,252.0,1.0
neoverse-v2,codec/population252/encode_bound_exact,1,5,"[35.76203201013636,35.78461502953249,35.77777549822015,35.767714950284976,35.75892383167561]",35.767714950284976,"[35.76107032217945,35.80261015195966,35.777011275231544,35.76694559861659,35.773664598337156]",35.773664598337156,,,4.0,252.0,1.0
neoverse-v2,codec/population252/encode_checked_exact,1,5,"[37.95340273835138,37.79730969122924,37.77862547495233,37.797388850067854,37.893545005900144]",37.797388850067854,"[37.95245010366161,37.81543433533814,37.77778748295784,37.79644440313833,38.002246474053585]",37.81543433533814,,,4.0,252.0,1.0
neoverse-v2,codec/population252/encode_staged_exact,1,5,"[44.759197079125045,44.617206358313254,44.57770762582581,44.6744822308317,44.5664354841265]",44.617206358313254,"[44.775609444873226,44.63872068402286,44.57668404620974,44.69088821894876,44.56543422419154]",44.63872068402286,,,4.0,252.0,1.0
neoverse-v2,codec/population252/native_encode_admitted_exact,1,5,"[32.980102877174076,32.962643434514234,32.96284127522384,32.95183756335688,32.97310543968071]",32.96284127522384,"[32.99817232780296,32.96195570336087,32.962012228680216,32.95100145077181,32.985894427799984]",32.962012228680216,,,4.0,252.0,1.0
neoverse-v2,codec/population252/native_encode_checked_exact,1,5,"[37.99145375668223,37.93839108152305,37.97238613826561,37.93539853980939,37.964157326848074]",37.964157326848074,"[37.99049874741189,37.93729227962618,37.990300691241394,37.93462259585618,38.021604360450404]",37.990300691241394,,,4.0,252.0,1.0
neoverse-v2,codec/population252/native_encode_wide,1,5,"[24.865533227537323,24.876707327284898,24.871793501783753,24.86340135037047,24.86780224300693]",24.86780224300693,"[24.864872470274197,24.892129152282767,24.871187955661686,24.862749497958237,24.867173544011862]",24.867173544011862,,,4.0,252.0,1.0
neoverse-v2,codec/population252/native_pair_exact_materialized,1,5,"[169.62619730934395,169.5904263692629,169.7821774984481,169.70098448794266,169.6429566122983]",169.6429566122983,"[169.62131725161208,169.67358108749812,169.7784599369359,169.6962376334628,169.70887976510588]",169.6962376334628,,,4.0,252.0,2.0
neoverse-v2,codec/population252/native_pair_materialized,1,5,"[165.56026568614362,165.23820424624586,165.8144822678133,166.1176728739234,165.80964298423802]",165.80964298423802,"[165.5557229269438,165.23410034684335,165.81020045065043,166.59865970862276,165.80659471030754]",165.80659471030754,,,4.0,252.0,2.0
neoverse-v2,codec/population252/prepare_checked,1,5,"[32.1866008085524,32.16074696562345,32.16443246931092,32.182641024104726,32.17825714167782]",32.17825714167782,"[32.1935039254143,32.159954086470535,32.163727176584935,32.197092623906,32.17745273858074]",32.17745273858074,,,4.0,252.0,1.0
neoverse-v2,codec/population252/spike_decode_padded,1,5,"[83.99450780312308,84.05890156062284,84.04376350540639,84.03987995198356,84.00478991596597]",84.03987995198356,"[83.99261104477445,84.05690276121489,84.08158463498258,84.05273109299127,84.00295318143999]",84.05273109299127,,,4.0,252.0,1.0
neoverse-v2,codec/population252/spike_encode_wide,1,5,"[25.93400956867165,25.929918777585097,25.912748952271322,25.922766383558212,25.981133405038882]",25.929918777585097,"[25.99925082510539,26.00410933497454,25.912240848617266,25.94059266360078,25.99312947427017]",25.99312947427017,,,4.0,252.0,1.0
neoverse-v2,codec/population252/spike_pair_materialized,1,5,"[166.9070201018156,167.43269115855193,166.8540048282407,167.01787891104743,166.8870019361192]",166.9070201018156,"[166.90286110498388,167.6897363580283,166.85038362808075,167.10570786352514,166.88269952134746]",166.90286110498388,,,4.0,252.0,2.0
neoverse-v2,codec/population254/decode_exact,1,5,"[88.04826445449731,87.99991823848282,88.0148554393527,88.06120164277942,87.92235800225036]",88.0148554393527,"[88.04576758382217,87.99766036268375,88.06042176350678,88.21043528648694,87.9204837777225]",88.04576758382217,,,2.0,254.0,1.0
neoverse-v2,codec/population254/decode_padded,1,5,"[85.009996538245,85.04700073484553,85.06917410132043,85.09721420892787,85.0733160448733]",85.06917410132043,"[85.00773122390135,85.08743023406768,85.06698773646211,85.09496711138752,85.1083342951113]",85.08743023406768,,,2.0,254.0,1.0
neoverse-v2,codec/population254/encode_bound_exact,1,5,"[33.62418354741853,33.605152376493564,33.61590568368469,33.564604996460524,33.603041533239974]",33.605152376493564,"[33.623308027071516,33.604300843310526,33.63091905645675,33.5639837369531,33.65217620743902]",33.623308027071516,,,2.0,254.0,1.0
neoverse-v2,codec/population254/encode_checked_exact,1,5,"[35.60524844609799,35.5197979294943,35.54222338549549,35.5352683177169,35.53102209256353]",35.5352683177169,"[35.79030610444982,35.51913469596487,35.56098199336781,35.534475485051715,35.53023434193842]",35.534475485051715,,,2.0,254.0,1.0
neoverse-v2,codec/population254/encode_staged_exact,1,5,"[44.66300915542218,44.652881640218595,44.60289530029854,44.75212366496552,44.64659800626828]",44.652881640218595,"[44.68407426032414,44.65185236972517,44.60170719185964,44.750951439544686,44.66542984718835]",44.66542984718835,,,2.0,254.0,1.0
neoverse-v2,codec/population254/native_encode_admitted_exact,1,5,"[31.624877070582322,31.634277355898334,31.63984111302274,31.66535391238365,31.631474000002985]",31.634277355898334,"[31.624126494211342,31.633400176974217,31.65450447302399,31.6697850231966,31.63627813768018]",31.63627813768018,,,2.0,254.0,1.0
neoverse-v2,codec/population254/native_encode_checked_exact,1,5,"[36.60744747516349,36.59888408483644,36.59533916637172,36.59698839249072,36.61095306391752]",36.59888408483644,"[36.62616579925083,36.59818663775517,36.59451062095036,36.595976308394654,36.62545261958292]",36.59818663775517,,,2.0,254.0,1.0
neoverse-v2,codec/population254/native_encode_wide,1,5,"[24.86720506291043,24.87559708357225,24.86324877387395,24.8861093057992,24.861521004911378]",24.86720506291043,"[24.866544497892995,24.87949122330346,24.862605965643162,24.897532469346825,24.86099894522076]",24.866544497892995,,,2.0,254.0,1.0
neoverse-v2,codec/population254/native_pair_exact_materialized,1,5,"[169.62619785114953,169.57537992452887,169.99917723358718,169.51525747749358,169.58059481172012]",169.58059481172012,"[169.84104878675953,169.57086680631323,170.1975486404563,169.51161552862092,169.57623898533748]",169.57623898533748,,,2.0,254.0,2.0
neoverse-v2,codec/population254/native_pair_materialized,1,5,"[165.9922604845453,165.62736369787228,165.8739598542216,165.81820447987138,166.07289626438134]",165.8739598542216,"[166.07658796822523,165.6238025739157,165.86921168378709,165.84325106909253,166.13489548214127]",165.86921168378709,,,2.0,254.0,2.0
