case,method,leaf_bits,fanout_bits,partition_bits,updates,batch,queries_per_batch,max_runs,locality,query_shape,seed,mutation_checksum,checksum,correct,foreground_entries,sort_input_entries,base_updates,leaf_base_updates,drain_base_updates,run_entries_written,prefix_entries_written,partition_total_updates,base_query_nodes,partition_consults,partition_total_reads,run_probes,search_comparisons,folds,peak_pending_entries,peak_pending_runs,peak_pending_payload_bytes,largest_scratch_capacity_bytes,base_bytes,partition_metadata_bytes,pending_entries_at_end
deep,ancestor_runs,16,1,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,294164,446590,117208,16219,0,152426,0,1024,1104,1351,1101,376,19834,256,7347,49,323544,17808,2097136,640,0
deep,location_runs,16,1,4,16384,256,4,4,uniform,mixed,17,9707357635842171079,5304614386873165295,1,16384,308447,117208,16219,0,16340,17364,1024,1104,1351,1101,376,3088,256,793,49,32504,33048,2097136,640,0
small_batch,eager,16,4,4,16384,16,4,4,uniform,mixed,17,9707357635842171079,13177215419704455534,1,81920,0,81920,16384,0,0,0,0,56291,0,0,0,0,0,0,0,0,0,1118480,0,0
small_batch,eager_batch,16,4,4,16384,16,4,4,uniform,mixed,17,9707357635842171079,13177215419704455534,1,98289,98289,60233,16381,0,0,0,0,56291,0,0,0,0,0,0,0,0,1920,1118480,0,0
small_batch,ancestor_runs,16,4,4,16384,16,4,4,uniform,mixed,17,9707357635842171079,13177215419704455534,1,98289,168090,51684,16371,102,69801,0,10592,56291,21326,17359,5859,420672,2655,279,41,8160,1128,1118480,640,0
small_batch,location_runs,16,4,4,16384,16,4,4,uniform,mixed,17,9707357635842171079,13177215419704455534,1,16384,114620,51684,16371,102,16381,26973,10592,56291,21326,17359,5859,15166,2655,68,41,3344,1680,1118480,640,0
large_batch,eager,16,4,4,16384,1024,4,4,uniform,mixed,17,9707357635842171079,8099679415521453429,1,81920,0,81920,16384,0,0,0,0,859,0,0,0,0,0,0,0,0,0,1118480,0,0
large_batch,eager_batch,16,4,4,16384,1024,4,4,uniform,mixed,17,9707357635842171079,8099679415521453429,1,97479,97479,34949,16219,0,0,0,0,859,0,0,0,0,0,0,0,0,122400,1118480,0,0
large_batch,ancestor_runs,16,4,4,16384,1024,4,4,uniform,mixed,17,9707357635842171079,8099679415521453429,1,97479,132668,27336,15835,0,35189,0,256,859,349,287,92,15548,64,6748,49,373320,24576,1118480,640,0
large_batch,location_runs,16,4,4,16384,1024,4,4,uniform,mixed,17,9707357635842171079,8099679415521453429,1,16384,111778,27336,15835,0,16219,16475,256,859,349,287,92,1108,64,3111,49,125224,33480,1118480,640,0
long_buffer,eager,16,4,4,16384,256,4,16,uniform,mixed,17,9707357635842171079,5304614386873165295,1,81920,0,81920,16384,0,0,0,0,3524,0,0,0,0,0,0,0,0,0,1118480,0,0
long_buffer,eager_batch,16,4,4,16384,256,4,16,uniform,mixed,17,9707357635842171079,5304614386873165295,1,98084,98084,43679,16340,0,0,0,0,3524,0,0,0,0,0,0,0,0,30720,1118480,0,0
long_buffer,ancestor_runs,16,4,4,16384,256,4,16,uniform,mixed,17,9707357635842171079,5304614386873165295,1,98084,142723,27336,15835,0,44639,0,1024,3524,1351,1101,1864,251270,64,10516,241,461640,18456,1118480,640,0
long_buffer,location_runs,16,4,4,16384,256,4,16,uniform,mixed,17,9707357635842171079,5304614386873165295,1,16384,111899,27336,15835,0,16340,17364,1024,3524,1351,1101,1864,15265,64,3847,241,157736,33480,1118480,640,0
large_base,eager,20,4,4,16384,256,4,4,uniform,mixed,17,17356629914050678015,16619550868221915293,1,98304,0,98304,16384,0,0,0,0,4480,0,0,0,0,0,0,0,0,0,17895696,0,0
large_base,eager_batch,20,4,4,16384,256,4,4,uniform,mixed,17,17356629914050678015,16619550868221915293,1,114688,114688,60022,16384,0,0,0,0,4480,0,0,0,0,0,0,0,0,36864,17895696,0,0
large_base,ancestor_runs,20,4,4,16384,256,4,4,uniform,mixed,17,17356629914050678015,16619550868221915293,1,114688,175670,51734,16377,0,60982,0,1024,4480,1350,1101,378,73896,256,2947,49,113616,7776,17895696,640,0
large_base,location_runs,20,4,4,16384,256,4,4,uniform,mixed,17,17356629914050678015,16619550868221915293,1,16384,131030,51734,16377,0,16384,17408,1024,4480,1350,1101,378,3095,256,789,49,32344,12816,17895696,640,0
