name,repetition_index,threads,iterations,real_time,cpu_time,time_unit,mutations_per_trace,queries_per_trace
large_base/eager/manual_time,1,1,334,205400.70059880227,372467.0628742518,ns,16384.0,256.0
large_base/eager/manual_time,2,1,334,284014.79940119776,463909.3053892204,ns,16384.0,256.0
large_base/eager_batch/manual_time,0,1,18,3694922.388888889,3894888.8888889533,ns,16384.0,256.0
large_base/eager_batch/manual_time,1,1,18,3631724.7222222215,3800782.3888889113,ns,16384.0,256.0
large_base/eager_batch/manual_time,2,1,18,3525575.944444444,3702708.3333332674,ns,16384.0,256.0
large_base/ancestor_runs/manual_time,0,1,21,3500896.047619047,3662371.0000000135,ns,16384.0,256.0
large_base/ancestor_runs/manual_time,1,1,21,3538616.4285714286,3696498.0000000484,ns,16384.0,256.0
large_base/ancestor_runs/manual_time,2,1,21,3688212.19047619,3848105.1428570976,ns,16384.0,256.0
large_base/location_runs/manual_time,0,1,21,3458277.238095238,3631319.380952376,ns,16384.0,256.0
large_base/location_runs/manual_time,1,1,21,3459505.761904762,3615938.4761904827,ns,16384.0,256.0
large_base/location_runs/manual_time,2,1,21,3265751.523809524,3421525.761904745,ns,16384.0,256.0
