dataset,mask,operation,configuration,policy,repetition,pairs,passes,calls,selected_slices,bec_decodes,plain_loads,metadata_frames,left_bytes,right_bytes,output_bytes,checksum,elapsed_ns,ns_per_call,cycles_raw,instructions_raw,enabled_ns,running_ns,pmu_status,major_faults,minor_faults,residence
structural,none,union,local-point,complete,0,8,16384,131072,0,0,0,0,65241,65174,65536,0,6804682,51.9156,30547713,13795617,6816913,6816913,available,0,0,unestablished
structural,none,union,local-point,complete,1,8,16384,131072,0,0,0,0,65241,65174,65536,0,6826412,52.0814,30548068,13795617,6832343,6832343,available,0,0,unestablished
structural,none,union,local-point,complete,2,8,16384,131072,0,0,0,0,65241,65174,65536,0,6818891,52.024,30547404,13795616,6825722,6825722,available,0,0,unestablished
structural,none,union,local-point,complete,3,8,16384,131072,0,0,0,0,65241,65174,65536,0,6827872,52.0925,30548010,13795617,6834203,6834203,available,0,0,unestablished
structural,none,union,local-point,complete,4,8,16384,131072,0,0,0,0,65241,65174,65536,0,6846252,52.2328,30548616,13795618,6840833,6840833,available,0,0,unestablished
structural,none,union,local-frame,complete,0,8,16384,131072,0,0,0,0,65241,65174,65536,0,6797292,51.8592,30545648,13795615,6809523,6809523,available,0,0,unestablished
structural,none,union,local-frame,complete,1,8,16384,131072,0,0,0,0,65241,65174,65536,0,6832201,52.1256,30547278,13795617,6837483,6837483,available,0,0,unestablished
structural,none,union,local-frame,complete,2,8,16384,131072,0,0,0,0,65241,65174,65536,0,6820682,52.0377,30547684,13795617,6825822,6825822,available,0,0,unestablished
structural,none,union,local-frame,complete,3,8,16384,131072,0,0,0,0,65241,65174,65536,0,6820672,52.0376,30547365,13795616,6826103,6826103,available,0,0,unestablished
structural,none,union,local-frame,complete,4,8,16384,131072,0,0,0,0,65241,65174,65536,0,6825301,52.0729,30547627,13795617,6830503,6830503,available,0,0,unestablished
