dataset,mask,operation,configuration,policy,repetitions,median_ns,min_ns,max_ns,cycles_per_call,relative_to_plain
census-income_srt,all,intersection,local-point,complete,5,1518.73,1514.87,1520.8,6804.720703125,8.45952464504342
census-income_srt,all,intersection,mixed-frame,complete,5,763.756,760.283,767.731,3419.9844970703125,4.254220766561391
census-income_srt,all,intersection,mixed-frame-point,complete,5,1129.25,1128.53,1135.0,5057.48779296875,6.290070127945903
census-income_srt,all,intersection,mixed-point-frame,complete,5,1210.53,1205.56,1218.8,5414.9818115234375,6.742810353759003
census-income_srt,all,intersection,plain,complete,5,179.529,179.417,181.527,802.6121520996094,1.0
census-income_srt,all,intersection,plain,selected,5,184.494,183.449,185.255,825.236572265625,1.0
census-income_srt,all,union,bec-plain-frame,complete,5,2131.41,2123.31,2132.17,9525.79541015625,11.804180235262843
census-income_srt,all,union,local-frame,complete,5,4428.31,4415.43,4441.49,19851.9013671875,24.52487760572429
census-income_srt,all,union,local-frame,selected,5,4448.69,4415.09,4464.99,19842.30810546875,23.74065436769893
census-income_srt,all,union,local-inline,complete,5,4230.61,4222.12,4237.97,18976.7099609375,23.429974967324604
census-income_srt,all,union,local-point,complete,5,5426.08,5401.14,5429.31,24299.2509765625,30.050729935092267
census-income_srt,all,union,mixed-frame,complete,5,4428.95,4412.12,4449.87,19840.66943359375,24.52842205533772
census-income_srt,all,union,mixed-frame-point,complete,5,4936.89,4915.82,4958.32,22082.4365234375,27.341496643849275
census-income_srt,all,union,mixed-point-frame,complete,5,5043.7,5038.56,5069.53,22576.2275390625,27.933032055116193
census-income_srt,all,union,plain,complete,5,180.564,179.843,180.746,807.2905578613281,1.0
census-income_srt,all,union,plain,selected,5,187.387,186.604,187.681,838.20947265625,1.0
census-income_srt,cluster32,intersection,bec-plain-frame,complete,5,101.783,101.659,102.032,456.5121154785156,1.545402646146932
census-income_srt,cluster32,intersection,local-frame,complete,5,119.708,118.975,119.993,535.9735870361328,1.8175634434528056
census-income_srt,cluster32,intersection,local-frame,selected,5,75.9757,75.8521,76.2458,339.8870086669922,3.533539832475246
census-income_srt,cluster32,intersection,local-inline,complete,5,87.9358,87.4349,88.5242,393.8930358886719,1.3351563425232835
census-income_srt,cluster32,intersection,local-point,complete,5,221.649,220.95,222.484,993.6214599609375,3.36536505227613
