profile,target,case,variant,ns_per_value,over_materialized,vs_materialized,samples,materialized_samples
gnr-avx512,avx2,composition/avx2/local/k60/h8/u64/prefilter75,authored,0.4175290798525303,1.3710502793969312,separated slower,"[0.4171868807880886,0.41760488848338767,0.4175290798525303]","[0.30496546392610707,0.30453228895163803,0.30422414691520694]"
gnr-avx512,avx2,composition/avx2/local/k60/h8/u64/prefilter75,authored-u64-carrier,0.30643609031720853,1.0062515583228444,separated slower,"[0.30643609031720853,0.3063642220499021,0.3065105547393976]","[0.30496546392610707,0.30453228895163803,0.30422414691520694]"
gnr-avx512,avx2,composition/avx2/local/k64/h0/u64/all,authored,0.21055870413236205,0.9499464139023641,separated faster,"[0.21056319481236332,0.2105517475883804,0.21055870413236205]","[0.22163692172923544,0.22167330218649028,0.22165324385760918]"
gnr-avx512,avx2,composition/avx2/local/k64/h0/u64/all,authored-u64-carrier,0.1118791669796488,0.5047486110851613,separated faster,"[0.11186385284944425,0.1118791669796488,0.11190114336959896]","[0.22163692172923544,0.22167330218649028,0.22165324385760918]"
gnr-avx512,avx2,composition/avx2/local/k64/h0/u64/prefilter75,authored,0.23472433137463117,1.0046414289469465,separated slower,"[0.23499248968595515,0.23472433137463117,0.2346047468086968]","[0.23374411891076352,0.233599227507043,0.23363990834089582]"
gnr-avx512,avx2,composition/avx2/local/k64/h0/u64/prefilter75,authored-u64-carrier,0.12662614544403283,0.5419713881212325,separated faster,"[0.12664407020483398,0.1265989424808557,0.12662614544403283]","[0.23374411891076352,0.233599227507043,0.23363990834089582]"
gnr-avx512,avx2,composition/avx2/local/k7/h0/u8/all,authored,0.18042827990438565,1.287358968468244,separated slower,"[0.18042827990438565,0.18049711732429732,0.18031384814160367]","[0.14007672334949753,0.1401538221457121,0.14019742178515748]"
gnr-avx512,avx2,composition/avx2/local/k7/h0/u8/all,authored-u64-carrier,0.11369789024243758,0.8112364579271382,separated faster,"[0.11370677182968379,0.11369789024243758,0.11364459258603299]","[0.14007672334949753,0.1401538221457121,0.14019742178515748]"
gnr-avx512,avx2,composition/avx2/local/k7/h0/u8/all,dense32-authored,0.03924827917391876,0.2800371661153412,separated faster,"[0.03927734464949865,0.039205834397081404,0.03924827917391876]","[0.14007672334949753,0.1401538221457121,0.14019742178515748]"
gnr-avx512,avx2,composition/avx2/local/k7/h0/u8/prefilter75,authored,0.18060764799714768,1.1910558209720883,separated slower,"[0.18050235467266149,0.18060764799714768,0.18064608255221662]","[0.15168585568211615,0.1515958689492909,0.15163659403447902]"
gnr-avx512,avx2,composition/avx2/local/k7/h0/u8/prefilter75,authored-u64-carrier,0.11366617086567496,0.7495959111283496,separated faster,"[0.11367030127775066,0.11366617086567496,0.11358580770713518]","[0.15168585568211615,0.1515958689492909,0.15163659403447902]"
