az_src,az_dst,n,p50_us,p50_lo_us,p50_hi_us,p90_us,p90_lo_us,p90_hi_us,p99_us,p99_lo_us,p99_hi_us,min_us,max_us,p50_clock_only_lo_us,p50_clock_only_hi_us,block_p50_min_us,block_p50_max_us
2,6,51200,426.42691186597875,380.507485358909,476.4978306520019,569.5468081984333,521.1414674381181,618.3088686877478,597.6378386947354,548.1819504076416,643.6991024138694,272.15396772788836,622.271756930073,380.507485358909,476.4978306520019,275.1153455053568,605.3454521220381
3,1,51000,341.61340697846833,0.0,679.38060621011,354.5727333317932,0.0,705.5244967313413,360.9820384376998,0.0,716.7859246393865,219.62399812867864,400.78200018638745,-145.71926191492727,819.5247412341885,222.15759211946838,362.2284953356723
3,2,51200,412.56327545368276,0.0,811.9813052204705,437.56399115695336,30.068199821513645,858.6795488770372,450.3006983585519,75.94666130199326,876.78132110793,296.5102695924379,523.8766326727183,-70.37442134554848,890.4866992947103,299.35150360328987,455.80658771027623
3,3,25600,31.597162882878443,0.0,63.43433920320321,35.1703468235035,0.0,67.7819783454054,39.60675665346313,0.0,74.98046067275271,23.674182573152706,149.19824754306885,-898.5797732417976,962.5371192847836,26.06199019424466,37.54026953340019
3,4,51200,352.9251084097443,0.0,714.4418023741448,372.0801590435059,0.0,733.0033275311412,389.7739738803584,5.373047423909315,750.8815045963934,266.76359514453543,1122.4761085760374,-128.90723747352976,825.2104883279032,270.8321300700908,396.3580238412335
3,5,51200,229.72594362850765,0.0,467.4848799602102,235.47008978114675,0.0,474.43412112911915,239.3360280990355,0.0,479.50338750894997,217.45655422664433,297.47046417697334,-259.0373462462776,721.0449744052061,220.05709085549137,239.99656130082045
3,6,51200,251.89331699739827,0.0,542.6633570492493,304.712965611102,0.0,605.9278561975175,312.8929653543864,0.0,623.0736160743844,140.78255488516763,346.68226107975653,-252.89552669812787,719.8679926355853,143.68414865286275,315.524183092504
4,1,51000,197.75690519525483,153.81357382682677,250.67724363153172,242.0558614194626,196.60344522775782,292.963181787828,261.168556788012,210.8286174809998,306.6280758271121,153.53182312628766,319.54053333736584,153.81357382682677,250.67724363153172,158.67827807774722,264.75177388614793
4,2,51200,146.11947260344704,100.02830334449419,196.21466283383313,163.77564446518898,117.05681844716725,213.16060833338338,178.73752623878542,129.04521265965454,226.32249704414042,95.68363589118607,320.1749500751621,100.02830334449419,196.21466283383313,98.97305870944169,182.09402643901763
4,3,51200,360.8570369040073,0.0,714.5630089887387,380.1214347415648,0.0,733.1822325692192,396.62681732666664,12.058687970105655,751.0202107156797,280.1958613353148,598.2747243883654,-112.77001557216957,837.9056383718255,282.3752204435174,405.6340771138482
4,4,25600,137.56201866932784,91.04064991591602,185.40456263148167,167.07177547374798,114.55524762623543,210.93670056503476,183.4522967052841,127.54285550593652,223.4261458257771,50.65218617202341,244.12633412472763,91.04064991591602,185.40456263148167,54.93649348620791,187.1215233452241
4,5,51200,292.16769521292207,247.25226553758768,344.0454504957453,319.82391156907323,272.67639901314266,368.02722843693687,330.60675212551337,284.3308296317539,379.7013148393724,161.3209257966932,405.9806987471874,247.25226553758768,344.0454504957453,163.76445352697746,333.06397769521175
4,6,51000,396.46168348868537,348.666631340991,443.4907912422923,504.81761712994654,457.0479307896296,552.2354903653451,565.8918954445076,521.6374086368849,617.7708195772447,258.64487742531674,739.4941474650658,348.666631340991,443.4907912422923,262.3940778440144,570.8408434880741
5,1,51200,133.64539376440598,88.16536341451447,183.79159601536537,150.41701764320786,108.80029588095098,203.30900137209198,159.26836311126934,116.12621918085624,210.79111931168364,101.01318678116148,292.0942609361705,88.16536341451447,183.79159601536537,103.24969114894057,160.49557781170185
5,2,51200,139.73241504578687,92.76880708458457,190.23555443633626,149.05500379463476,104.87981252243294,201.76272724709693,160.35702819020904,112.09955263657312,209.3458814069798,122.02932101139767,1703.5590865825861,92.76880708458457,190.23555443633626,124.58323809825211,166.10871346490785
5,3,51200,238.0627860739532,0.0,467.4848799602102,242.9125255372061,0.0,474.43412112911915,247.19929024766222,0.0,479.50338750894997,224.53058641556692,1269.4381906370368,-252.8273509459047,726.904933264205,226.63153001803806,250.33738986621586
5,4,51200,217.63446838479388,170.8374055504505,266.76096363413416,320.9445532531945,272.7359397678378,367.3014459551759,332.50589620954383,284.1548444071022,378.45025444824216,167.57881561695635,424.2759526442743,170.8374055504505,266.76096363413416,170.77363893668274,337.4078688738243
5,5,25600,18.77575900170314,0.0,37.81697135705706,22.70915953188561,0.0,41.15469523170171,26.531020742673636,0.0,45.16355052746816,12.09829496574973,660.6565364277419,-29.277888404504406,67.21965131101089,13.427476328953173,27.849508619937346
5,6,51200,411.73744917325337,357.0541504593093,458.21050837287294,460.2289032370406,413.26651705636664,510.0380188527127,469.03572540411375,426.17455274429875,522.8927794095354,301.11634771172515,491.06385711407125,357.0541504593093,458.21050837287294,303.99907922248264,472.0524619757349
6,1,51000,318.45636458109834,270.5028375062061,366.1489939796295,343.1567012848241,296.77662412344364,393.6738027184484,357.66284187978357,306.81369612455256,403.61357779799204,238.2519569212876,568.6918926991269,270.5028375062061,366.1489939796295,240.1250161738157,360.09270553769545
6,2,51200,423.9228802042524,377.15512087402413,472.7268465952452,565.2882531833079,519.2443826844644,614.7871941353558,593.0564988607532,546.7461417138637,641.7155250919124,280.3810869605129,669.6717018179463,377.15512087402413,472.7268465952452,282.2712621087379,606.6211323453296
6,3,51200,270.6104638684536,0.0,542.6633570492493,312.7329045230051,0.0,605.9324112777077,323.7745920693937,0.0,623.0736160743844,153.3259793654806,4357.366373449757,-248.28447468268917,723.512966579679,154.54178708488286,326.30916023452676
6,4,51000,419.9979831327398,374.5094409461461,472.4543372034534,528.2419308284908,483.0344943758759,575.6605254228931,568.8712455333866,523.0806869000927,619.3019847673532,267.60333354355276,1010.36309460145,374.5094409461461,472.4543372034534,271.179448689673,575.1642626372659
6,5,51200,413.81305294109154,359.8501359755255,451.4650918418416,458.5750322316129,410.8914408311511,506.90906680164113,470.1285593793295,425.80343532112624,522.4625244311125,299.93073489302583,5112.893766799087,359.8501359755255,451.4650918418416,301.67273339282417,471.4418958697494
6,6,25200,158.92627670079958,110.4136523727728,206.5146012898395,165.05990156013198,123.18655554861888,219.13042623997995,169.41690681997179,129.80539933877586,225.29952434959264,147.79409337037242,212.37797536841595,110.4136523727728,206.5146012898395,149.60344116996333,167.29441572529032
