node_a,node_b,host_a,host_b,same_az,az_a,az_b,budget,src,dst,host_src,host_dst,holdout_round,sequential_port_a,sequential_flow,sequential_train_worst_us,sequential_holdout_us,sequential_holdout_lo_us,sequential_holdout_hi_us,scattered_port_a,scattered_flow,scattered_train_worst_us,scattered_holdout_us,scattered_holdout_lo_us,scattered_holdout_hi_us,gain_us,gain_lo_us,gain_hi_us
0,3,az1a,az2b,False,1,2,32,3,0,az2b,az1a,3,65097,15,216.64180672184762,210.74392384910794,149.0730151870374,266.0197393034035,57069,46,215.28708380643042,209.1539785303762,175.60409768463484,246.76649406901933,1.5899453187317363,-97.69347888198192,90.41564161876869
0,4,az1a,az3a,False,1,3,4,0,4,az1a,az3a,4,65375,3,254.63267016094494,256.1883122329582,0.0,587.3411233258759,58503,33,242.82019123387556,242.0117423465606,0.0,596.4946210432933,14.176569886397601,-596.4946210432933,587.3411233258759
0,4,az1a,az3a,False,1,3,4,4,0,az3a,az1a,3,65372,0,227.61908801034465,226.3353485756349,0.0,496.3233071607107,50004,34,345.01962392531055,342.18633185102044,0.0,592.8718059913414,-115.85098327538554,-592.8718059913414,496.3233071607107
0,4,az1a,az3a,False,1,3,16,0,4,az1a,az3a,4,65379,7,240.31069792831212,240.26160896486778,0.0,579.4226058183183,58503,33,242.82019123387556,242.0117423465606,0.0,596.4946210432933,-1.7501333816928195,-596.4946210432933,579.4226058183183
0,4,az1a,az3a,False,1,3,16,4,0,az3a,az1a,3,65372,0,227.61908801034465,226.3353485756349,0.0,496.3233071607107,54190,45,334.6791428949046,333.0059761605356,0.0,608.8220783111612,-106.67062758490073,-608.8220783111612,496.3233071607107
0,4,az1a,az3a,False,1,3,32,0,4,az1a,az3a,4,65392,20,239.8522670471694,240.8176094751457,0.0,592.9553992933434,58503,33,242.82019123387556,242.0117423465606,0.0,596.4946210432933,-1.1941328714148938,-596.4946210432933,592.9553992933434
0,4,az1a,az3a,False,1,3,32,4,0,az3a,az1a,3,65372,0,227.61908801034465,226.3353485756349,0.0,496.3233071607107,65064,50,242.5536824154663,240.26123510519602,0.0,594.1286351854855,-13.925886529561126,-594.1286351854855,496.3233071607107
0,5,az1a,az3b,False,1,3,4,0,5,az1a,az3b,4,53648,2,355.1984166722874,353.0260243389561,0.0,705.9736930256256,56965,34,344.2575330720163,342.3435379582031,0.0,682.8247800360862,10.682486380753005,-682.8247800360862,705.9736930256256
0,5,az1a,az3b,False,1,3,4,5,0,az3b,az1a,3,53646,0,328.80130625334476,328.6392175204889,0.0,683.1299386569569,50057,35,339.6528029937132,339.62818269829313,0.0,692.9294061083583,-10.988965177804232,-692.9294061083583,683.1299386569569
0,5,az1a,az3b,False,1,3,16,0,5,az1a,az3b,4,53653,7,342.4590359455709,341.2463142455794,0.0,692.4739234671672,63826,37,342.09417114534074,340.24086162557285,0.0,669.3540922328327,1.0054526200065652,-669.3540922328327,692.4739234671672
