node_a,node_b,host_a,host_b,same_az,az_a,az_b,flow,canonical_flow,arm,index,port_a,port_b,rtt_train_worst_us,rtt_train_median_us,rtt_round_0_us,rtt_round_1_us,rtt_round_2_us,rtt_round_3_us,rtt_round_4_us,rtt_holdout_worst_us,ab_train_worst_us,ab_train_median_us,ab_request_holdout_round,ab_request_holdout_us,ab_request_holdout_lo_us,ab_request_holdout_hi_us,ba_train_worst_us,ba_train_median_us,ba_request_holdout_round,ba_request_holdout_us,ba_request_holdout_lo_us,ba_request_holdout_hi_us
0,1,az1a,az1b,True,1,1,43,43,scattered,11,59549,48100,39.846000000000004,38.8505,38.8505,38.6625,39.846000000000004,39.806,39.96025,39.96025,16.637974648270173,15.060016685104463,4,26.81908908558369,0.0,40.08106515970971,24.3889911258833,24.3889911258833,3,23.20836847653147,0.0,39.95803122297297
0,1,az1a,az1b,True,1,1,44,44,scattered,12,63729,48100,45.4015,38.78675,38.33425,38.78675,45.4015,38.159,37.59625,38.159,16.017787578543242,15.262082795049327,4,27.43200512400514,0.0,37.71945842152152,25.978807671223066,25.978807671223066,3,15.96633734249766,0.0,38.29886866201201
0,1,az1a,az1b,True,1,1,45,45,scattered,13,55742,48100,39.375,39.238,38.6905,39.238,39.375,38.9155,40.43025,40.43025,16.767689002064348,15.25414128009163,4,28.064140142573045,0.0,40.59066431191191,24.602503713743644,24.602503713743644,3,18.191050196882337,0.0,39.03861365935936
0,1,az1a,az1b,True,1,1,46,46,scattered,14,62905,48100,39.1625,37.85125,37.5315,37.85125,39.1625,37.966,39.72175,39.72175,18.042386807109782,16.277101090439523,4,28.328878589751895,0.0,39.880227027527525,24.450164486893804,24.450164486893804,3,22.218786448254598,0.0,38.088430730630634
0,1,az1a,az1b,True,1,1,47,47,scattered,15,51396,48100,39.05475,38.508750000000006,39.05475,37.57275,38.508750000000006,38.573499999999996,38.796499999999995,38.796499999999995,17.56019425991981,16.114329642154278,4,26.790484465877412,0.0,38.954064600700704,24.384119513109734,24.384119513109734,3,24.060770006678883,0.0,38.695219678778784
0,1,az1a,az1b,True,1,1,48,48,scattered,16,61458,48100,42.1745,40.802,40.38175,40.802,42.1745,40.287000000000006,40.73475,40.73475,17.328510027275186,16.251858313602977,4,29.633822199841262,0.0,40.898379307607605,27.8911702498385,27.8911702498385,3,20.67086452702526,0.0,40.453090202002
0,1,az1a,az1b,True,1,1,49,49,scattered,17,51060,48100,40.46625,39.084500000000006,40.46625,39.084500000000006,38.47625,38.8975,39.25025,39.25025,16.728486885921914,16.091630874750088,4,24.86663057762629,0.0,39.37058662412412,27.23407396317378,27.23407396317378,3,19.423776215569582,0.0,39.048927933533534
0,1,az1a,az1b,True,1,1,50,50,scattered,18,58913,48100,39.60275,38.64725,39.60275,38.64725,38.64175,38.28874999999999,39.019999999999996,39.019999999999996,17.289889217606863,16.344263994084265,4,30.03935234869388,0.0,39.15990893638639,26.286621773980094,26.286621773980094,3,16.76926842273562,0.0,38.43973240245245
0,1,az1a,az1b,True,1,1,51,51,scattered,19,57392,48100,39.74625,39.530249999999995,38.97425,39.74625,39.530249999999995,40.60525,39.042500000000004,40.60525,18.56436404403599,17.337874789251174,4,24.751115367976368,0.0,39.16033834579579,25.07343686401681,25.07343686401681,3,20.096665761468465,0.0,40.75204161511512
0,1,az1a,az1b,True,1,1,52,52,scattered,20,49213,48100,49.66975,40.95425,49.66975,40.562250000000006,40.95425,40.758250000000004,40.823750000000004,40.823750000000004,18.23910647638602,17.06742007337339,4,27.746400411184528,0.0,40.99369966421422,27.165209360924784,27.165209360924784,3,24.225342640414716,0.0,40.880375569169175
0,1,az1a,az1b,True,1,1,53,53,scattered,21,54751,48100,40.263000000000005,40.0235,39.81575,40.263000000000005,40.0235,41.648250000000004,39.944,41.648250000000004,18.092144131276875,16.008147245274625,4,27.51040952517127,0.0,40.06378094239239,25.090428601394116,25.090428601394116,3,21.68769991455646,0.0,41.77142633003003
0,1,az1a,az1b,True,1,1,54,54,scattered,22,54259,48100,40.483999999999995,40.27575,39.49825,40.483999999999995,40.27575,40.20125,39.80775,40.20125,18.16269834133552,16.561436611728105,4,26.820908920225804,0.0,39.9645532533033,27.009296526291877,27.009296526291877,3,18.846463080513992,0.0,40.32219601086086
0,1,az1a,az1b,True,1,1,55,55,scattered,23,54024,48100,39.05625,38.795500000000004,38.669250000000005,38.795500000000004,39.05625,39.576499999999996,38.879,39.576499999999996,16.543365714912305,15.667197432177433,4,28.056195662634448,0.0,39.03939477722722,26.302528865161584,26.302528865161584,3,19.836345017485556,0.0,39.74283236396396
0,1,az1a,az1b,True,1,1,56,56,scattered,24,51131,48100,39.63425,39.62075,39.118,39.63425,39.62075,38.9355,39.644999999999996,39.644999999999996,18.60070403878324,16.11704453773268,4,27.26967206706037,0.0,39.80213409874875,24.819533111346885,24.819533111346885,3,19.64376592736505,0.0,39.0531688524024
0,1,az1a,az1b,True,1,1,57,57,scattered,25,55664,48100,40.35575,39.809250000000006,39.809250000000006,39.5935,40.35575,39.9165,38.63849999999999,39.9165,16.854910714834986,16.60869978951462,4,25.555090290304275,0.0,38.759382122572575,27.387499987847406,27.387499987847406,3,24.66391502695263,0.0,40.066669604054056
0,1,az1a,az1b,True,1,1,58,58,scattered,26,60192,48100,39.243750000000006,39.159499999999994,39.159499999999994,37.87875,39.243750000000006,38.750249999999994,38.682,38.750249999999994,18.87099255315194,16.495403377778377,4,26.589807273934596,0.0,38.84346157932933,26.08921113090392,26.08921113090392,3,19.71549414726696,0.0,38.90421132182182
0,1,az1a,az1b,True,1,1,59,59,scattered,27,64766,48100,39.63125,39.06325,38.957,39.06325,39.63125,39.637,40.4695,40.4695,18.831906424216314,16.602297963954726,4,27.301940256822505,0.0,40.63408051821821,26.702197054405815,26.702197054405815,3,21.673404425572254,0.0,39.761170293093095
0,1,az1a,az1b,True,1,1,60,60,scattered,28,50128,48100,39.83775,38.7455,38.7455,37.80825,39.83775,38.03875,39.62375,39.62375,18.700467760607395,16.386589076229733,4,29.549532781417717,0.0,39.78412883888889,24.807880591426567,24.807880591426567,3,17.647057455664267,0.0,38.15800738993994
0,1,az1a,az1b,True,1,1,61,61,scattered,29,63458,48100,40.28475,39.59025,39.59025,40.28475,39.35825,40.21425,38.21775,40.21425,18.445857701450002,17.10496242748888,4,25.687316840473446,0.0,38.34129568563564,25.174934278561324,25.174934278561324,3,23.298134601181488,0.0,40.35019042747747
0,1,az1a,az1b,True,1,1,62,62,scattered,30,49307,48100,48.651250000000005,38.65075,48.651250000000005,38.65075,37.627250000000004,37.7055,37.15075,37.7055,17.52974024652393,15.98153013389607,4,27.877739006416057,0.0,37.30682614294294,24.20479508945317,24.20479508945317,3,17.308663889429532,0.0,37.85361915870871
0,1,az1a,az1b,True,1,1,63,63,scattered,31,52326,48100,39.67375,39.42425,39.421,39.42425,39.67375,40.213750000000005,39.9555,40.213750000000005,17.222904489109933,15.777139158974721,4,28.988257116180726,0.0,40.07285058758759,26.85335412650695,26.85335412650695,3,18.010013840079772,0.0,40.33963603888889
0,2,az1a,az2a,False,1,2,0,0,sequential,0,50428,48100,603.69475,602.4565,600.2005,602.4565,603.69475,603.1645,603.12475,603.1645,289.50641493287253,286.5941004407489,4,285.33145702970853,238.38268889980006,335.2090622947946,315.70017071415975,315.70017071415975,3,315.0023905227813,273.43246512037,357.0524047054555
