mtu,bytes,azs,leader,followers,healthy_p50_lower_us,healthy_p50_independent_us,healthy_p50_upper_us,one_follower_down_worst_p50_us,healthy_p99_lower_us,healthy_p99_independent_us,healthy_p99_upper_us,one_follower_down_worst_p99_us,healthy_p999_lower_us,healthy_p999_independent_us,healthy_p999_upper_us,one_follower_down_worst_p999_us
1500,64,"use1-az3,use1-az4,use1-az5",use1-az4,"use1-az3,use1-az5",357.352,357.352,357.352,658.643,388.466,388.466,388.466,748.789,449.84,449.84,449.84,781.686
1500,64,"use1-az3,use1-az4,use1-az5",use1-az5,"use1-az3,use1-az4",311.563,311.563,311.563,600.483,374.756,374.756,374.756,732.735,394.509,394.509,394.509,745.622
1500,64,"use1-az3,use1-az4,use1-az6",use1-az3,"use1-az4,use1-az6",446.743,446.743,446.743,730.151,479.272,479.272,479.272,749.366,505.537,505.537,505.537,772.191
1500,64,"use1-az3,use1-az4,use1-az6",use1-az4,"use1-az3,use1-az6",658.643,658.643,658.643,782.237,748.789,748.789,748.789,831.47,764.079,774.556,781.686,987.379
1500,64,"use1-az3,use1-az4,use1-az6",use1-az6,"use1-az3,use1-az4",445.282,445.282,445.282,789.055,480.781,480.781,480.781,866.78,524.539,524.539,524.539,902.099
1500,64,"use1-az3,use1-az5,use1-az6",use1-az3,"use1-az5,use1-az6",446.743,446.743,446.743,508.784,479.272,479.272,479.272,732.105,484.323,494.877,505.537,743.789
1500,64,"use1-az3,use1-az5,use1-az6",use1-az5,"use1-az3,use1-az6",600.483,600.483,600.483,653.9,649.859,672.781,677.268,732.735,650.04,683.274,687.298,745.622
1500,64,"use1-az3,use1-az5,use1-az6",use1-az6,"use1-az3,use1-az5",445.282,445.282,445.282,654.694,480.781,480.781,480.781,681.016,524.539,524.539,524.539,698.96
1500,64,"use1-az4,use1-az5,use1-az6",use1-az4,"use1-az5,use1-az6",357.352,357.352,357.352,782.237,388.466,388.466,388.466,831.47,449.84,449.84,449.84,987.379
1500,64,"use1-az4,use1-az5,use1-az6",use1-az5,"use1-az4,use1-az6",311.563,311.563,311.563,653.9,374.756,374.756,374.756,677.268,394.509,394.509,394.509,687.298
1500,64,"use1-az4,use1-az5,use1-az6",use1-az6,"use1-az4,use1-az5",654.694,654.694,654.694,789.055,681.016,681.016,681.016,866.78,698.96,698.96,698.96,902.099
1500,512,"use1-az1,use1-az2,use1-az3",use1-az1,"use1-az2,use1-az3",358.755,358.755,358.755,742.548,402.424,402.424,402.424,770.007,420.816,420.816,420.816,784.369
1500,512,"use1-az1,use1-az2,use1-az3",use1-az2,"use1-az1,use1-az3",392.037,392.037,392.037,777.865,430.069,430.069,430.069,812.652,454.205,454.205,454.205,825.355
1500,512,"use1-az1,use1-az2,use1-az3",use1-az3,"use1-az1,use1-az2",744.137,744.137,744.137,847.028,769.562,769.562,769.562,882.842,792.109,792.109,792.109,905.706
1500,512,"use1-az1,use1-az2,use1-az4",use1-az1,"use1-az2,use1-az4",323.647,323.647,323.647,358.755,342.474,352.549,356.477,402.424,342.911,367.804,375.209,420.816
1500,512,"use1-az1,use1-az2,use1-az4",use1-az2,"use1-az1,use1-az4",214.623,214.623,214.623,392.037,248.529,248.529,248.529,430.069,272.224,272.224,272.224,454.205
1500,512,"use1-az1,use1-az2,use1-az4",use1-az4,"use1-az1,use1-az2",217.444,217.444,217.444,322.84,254.986,254.986,254.986,357.671,300.784,300.784,300.784,376.171
1500,512,"use1-az1,use1-az2,use1-az5",use1-az1,"use1-az2,use1-az5",287.121,287.121,287.121,358.755,324.343,324.343,324.343,402.424,340.487,355.13,362.043,420.816
1500,512,"use1-az1,use1-az2,use1-az5",use1-az2,"use1-az1,use1-az5",315.712,315.712,315.712,392.037,358.584,358.584,358.584,430.069,373.678,377.672,377.672,454.205
1500,512,"use1-az1,use1-az2,use1-az5",use1-az5,"use1-az1,use1-az2",281.252,283.967,291.91,318.107,309.047,334.363,343.861,422.585,309.827,364.707,375.735,450.632
1500,512,"use1-az1,use1-az2,use1-az6",use1-az1,"use1-az2,use1-az6",358.755,358.755,358.755,600.156,402.424,402.424,402.424,649.122,420.816,420.816,420.816,701.496
1500,512,"use1-az1,use1-az2,use1-az6",use1-az2,"use1-az1,use1-az6",392.037,392.037,392.037,852.999,430.069,430.069,430.069,984.071,454.205,454.205,454.205,1009.162
1500,512,"use1-az1,use1-az2,use1-az6",use1-az6,"use1-az1,use1-az2",582.528,582.528,582.528,739.715,635.534,635.534,635.534,1277.18,719.509,724.5,724.5,1306.593
1500,512,"use1-az1,use1-az3,use1-az4",use1-az1,"use1-az3,use1-az4",323.647,323.647,323.647,742.548,356.477,356.477,356.477,770.007,375.209,375.209,375.209,784.369
1500,512,"use1-az1,use1-az3,use1-az4",use1-az3,"use1-az1,use1-az4",727.169,727.169,727.169,744.137,740.656,758.843,769.562,794.235,740.851,770.098,792.109,811.748
1500,512,"use1-az1,use1-az3,use1-az4",use1-az4,"use1-az1,use1-az3",322.84,322.84,322.84,643.984,357.671,357.671,357.671,736.678,376.171,376.171,376.171,760.355
1500,512,"use1-az1,use1-az3,use1-az5",use1-az1,"use1-az3,use1-az5",287.121,287.121,287.121,742.548,324.343,324.343,324.343,770.007,362.043,362.043,362.043,784.369
1500,512,"use1-az1,use1-az3,use1-az5",use1-az3,"use1-az1,use1-az5",598.313,598.313,598.313,744.137,628.441,628.441,628.441,769.562,651.072,651.072,651.072,792.109
1500,512,"use1-az1,use1-az3,use1-az5",use1-az5,"use1-az1,use1-az3",291.91,291.91,291.91,604.238,343.861,343.861,343.861,640.424,375.735,375.735,375.735,657.665
1500,512,"use1-az1,use1-az3,use1-az6",use1-az1,"use1-az3,use1-az6",600.156,600.156,600.156,742.548,649.122,649.122,649.122,770.007,701.496,701.496,701.496,784.369
1500,512,"use1-az1,use1-az3,use1-az6",use1-az3,"use1-az1,use1-az6",478.755,478.755,478.755,744.137,505.481,505.481,505.481,769.562,527.313,527.313,527.313,792.109
1500,512,"use1-az1,use1-az3,use1-az6",use1-az6,"use1-az1,use1-az3",478.017,478.017,478.017,582.528,499.626,499.626,499.626,635.534,529.089,529.089,529.089,724.5
1500,512,"use1-az1,use1-az4,use1-az5",use1-az1,"use1-az4,use1-az5",287.121,287.121,287.121,323.647,314.022,320.325,324.343,356.477,314.664,331.055,362.043,375.209
1500,512,"use1-az1,use1-az4,use1-az5",use1-az4,"use1-az1,use1-az5",316.73,317.75,321.245,322.84,322.139,334.983,357.671,358.865,322.229,345.083,376.171,384.534
1500,512,"use1-az1,use1-az4,use1-az5",use1-az5,"use1-az1,use1-az4",283.41,285.245,291.91,333.529,309.506,336.196,343.861,380.039,310.573,356.399,375.735,407.833
1500,512,"use1-az1,use1-az4,use1-az6",use1-az1,"use1-az4,use1-az6",323.647,323.647,323.647,600.156,356.477,356.477,356.477,649.122,375.209,375.209,375.209,701.496
1500,512,"use1-az1,use1-az4,use1-az6",use1-az4,"use1-az1,use1-az6",322.84,322.84,322.84,806.324,357.671,357.671,357.671,870.411,376.171,376.171,376.171,935.425
1500,512,"use1-az1,use1-az4,use1-az6",use1-az6,"use1-az1,use1-az4",582.528,582.528,582.528,813.703,635.534,635.534,635.534,853.849,724.5,724.5,724.5,889.79
1500,512,"use1-az1,use1-az5,use1-az6",use1-az1,"use1-az5,use1-az6",287.121,287.121,287.121,600.156,324.343,324.343,324.343,649.122,362.043,362.043,362.043,701.496
1500,512,"use1-az1,use1-az5,use1-az6",use1-az5,"use1-az1,use1-az6",291.91,291.91,291.91,655.505,343.861,343.861,343.861,692.116,375.735,375.735,375.735,709.942
1500,512,"use1-az1,use1-az5,use1-az6",use1-az6,"use1-az1,use1-az5",582.528,582.528,582.528,655.262,635.006,635.534,635.534,694.489,639.639,659.99,714.541,724.5
1500,512,"use1-az2,use1-az3,use1-az4",use1-az2,"use1-az3,use1-az4",214.623,214.623,214.623,777.865,248.529,248.529,248.529,812.652,272.224,272.224,272.224,825.355
1500,512,"use1-az2,use1-az3,use1-az4",use1-az3,"use1-az2,use1-az4",727.169,727.169,727.169,847.028,794.235,794.235,794.235,882.842,811.748,811.748,811.748,905.706
1500,512,"use1-az2,use1-az3,use1-az4",use1-az4,"use1-az2,use1-az3",217.444,217.444,217.444,643.984,254.986,254.986,254.986,736.678,300.784,300.784,300.784,760.355
1500,512,"use1-az2,use1-az3,use1-az5",use1-az2,"use1-az3,use1-az5",315.712,315.712,315.712,777.865,358.584,358.584,358.584,812.652,377.672,377.672,377.672,825.355
