case,control,control_case,before_ordinary,before_control,before_over_control,after_ordinary,after_control,after_over_control,after_ranges_ordinary_slower,after_ranges_ordinary_faster
resident/series/neon/local/k41/h0/u64/get16,calico,resident/calico/local/k41/h0/u64/get16,8.008587849268388,20.79032742587644,0.38520739405482335,7.988133791416981,20.990003979558168,0.3805684743650596,False,True
resident/series/neon/local/k42/h0/u64/get16,calico,resident/calico/local/k42/h0/u64/get16,7.903809599176361,21.95225250207679,0.36004549412087083,8.004109533305162,21.934155896654765,0.36491532069970783,False,True
resident/series/neon/local/k43/h0/u64/get16,calico,resident/calico/local/k43/h0/u64/get16,9.131191766826653,22.3060345743783,0.4093597065125661,9.032513748795173,22.307282886183412,0.4049132202644766,False,True
resident/series/neon/local/k44/h0/u64/get16,calico,resident/calico/local/k44/h0/u64/get16,8.26060509139949,25.91770579697181,0.3187243946709453,8.197814546111942,25.917507786700767,0.31630412204674035,False,True
resident/series/neon/local/k45/h0/u64/get16,calico,resident/calico/local/k45/h0/u64/get16,9.348067349735299,26.631436692399483,0.3510162616350024,9.308660614392764,26.626839858980187,0.3495968978554291,False,True
resident/series/neon/local/k46/h0/u64/get16,calico,resident/calico/local/k46/h0/u64/get16,9.203319461725386,26.582602231707796,0.34621589645379575,9.163309547358619,26.66458809784323,0.3436508943522662,False,True
resident/series/neon/local/k47/h0/u64/get16,calico,resident/calico/local/k47/h0/u64/get16,9.179629064180236,27.160083230691342,0.33798236132822684,9.14046717391642,26.66267705687939,0.3428188082695933,False,True
resident/series/neon/local/k48/h0/u64/get16,calico,resident/calico/local/k48/h0/u64/get16,4.542019949425539,12.333942812877996,0.36825368970279065,4.293466376564309,12.34074965810453,0.3479096890799227,False,True
resident/series/neon/local/k49/h0/u64/get16,calico,resident/calico/local/k49/h0/u64/get16,8.036822972823932,18.86296875000022,0.42606352580761386,8.003641553557472,18.86696622572131,0.42421454821104826,False,True
resident/series/neon/local/k50/h0/u64/get16,calico,resident/calico/local/k50/h0/u64/get16,7.81152530027998,21.209941173639145,0.3682954722188746,7.9504022269732575,21.214156079383486,0.3747687250542897,False,True
resident/series/neon/local/k51/h0/u64/get16,calico,resident/calico/local/k51/h0/u64/get16,9.262357305533257,21.348231187148837,0.43387001125924624,9.24706286890864,21.38282054216101,0.4324529053908482,False,True
resident/series/neon/local/k52/h0/u64/get16,calico,resident/calico/local/k52/h0/u64/get16,8.262502696226452,24.03064412446718,0.3438319278264312,8.20372528017227,24.025531728550128,0.34145863545752797,False,True
resident/series/neon/local/k53/h0/u64/get16,calico,resident/calico/local/k53/h0/u64/get16,9.352827008480975,25.234244109633522,0.3706402683530514,9.319555684011105,25.221153274531268,0.3695134628685733,False,True
