dataset,first,count,layout,execution,repetitions,median_ns,min_ns,max_ns,cycles_per_call,ratio_to_direct_inline,split_over_inline
dimension_008,0,256,direct32,inline,5,6754.7,6740.77,6770.4,30168.4208984375,1.0,1.0
dimension_008,0,256,direct32,split,5,7672.61,7654.17,7677.18,34241.94580078125,0.8803653515557288,1.1358920455386619
dimension_008,0,256,local16,inline,5,7363.58,7360.08,7382.1,32913.48388671875,0.91731195967179,1.0
dimension_008,0,256,local16,split,5,7775.79,7760.43,7789.69,34700.20849609375,0.8686834392389712,1.055979564288023
dimension_008,0,256,scan128,inline,5,7323.1,7313.29,7361.27,32721.82470703125,0.9223825975338312,1.0
dimension_008,0,256,scan128,split,5,7748.72,7746.59,7782.49,34596.06640625,0.871718167645753,1.0581201949993855
dimension_008,3,37,direct32,inline,5,1020.31,1018.87,1022.22,4560.906494140625,1.0,1.0
dimension_008,3,37,direct32,split,5,1138.34,1135.72,1144.26,5078.2672119140625,0.8963139308115325,1.1156805284668385
dimension_008,3,37,local16,inline,5,1091.36,1090.2,1094.66,4876.224182128906,0.9348977422665299,1.0
dimension_008,3,37,local16,split,5,1152.93,1151.25,1153.73,5146.869201660156,0.8849713339057877,1.056415848116112
dimension_008,3,37,scan128,inline,5,1085.62,1083.14,1087.31,4841.386657714844,0.9398408282824562,1.0
dimension_008,3,37,scan128,split,5,1148.05,1147.73,1150.2,5131.6373291015625,0.8887330691171987,1.0575063097584791
dimension_008,15,18,direct32,inline,5,490.815,490.437,491.083,2192.4058837890625,1.0,1.0
dimension_008,15,18,direct32,split,5,538.933,538.237,539.457,2407.9837036132812,0.910716174366758,1.0980369385613724
dimension_008,15,18,local16,inline,5,530.365,529.219,531.456,2366.807403564453,0.9254287141873992,1.0
dimension_008,15,18,local16,split,5,555.656,554.369,555.948,2479.591583251953,0.8833072980405143,1.0476860275470665
dimension_008,15,18,scan128,inline,5,525.543,524.713,526.862,2347.6000061035156,0.9339197744047585,1.0
dimension_008,15,18,scan128,split,5,550.955,550.287,551.607,2461.8387756347656,0.890844079825031,1.0483537978814295
dimension_008,255,1,direct32,inline,5,43.3444,43.3067,43.663,193.4237937927246,1.0,1.0
dimension_008,255,1,direct32,split,5,43.0271,42.9501,43.522,192.4324073791504,1.007374422166495,0.9926795618349774
dimension_008,255,1,local16,inline,5,58.7047,58.628,58.7199,262.09877014160156,0.7383463334281581,1.0
dimension_008,255,1,local16,split,5,59.0275,58.8205,59.1811,263.49328231811523,0.7343085849815764,1.0054987079399094
dimension_008,255,1,scan128,inline,5,57.9082,57.8352,57.9822,258.79433822631836,0.7485019392763028,1.0
dimension_008,255,1,scan128,split,5,58.5615,58.5149,58.7182,261.67311096191406,0.7401518062208106,1.0112816492310244
dimension_033,0,256,direct32,inline,5,6748.7,6743.15,6766.89,30172.05712890625,1.0,1.0
