case,control,control_case,before_over_control,after_over_control,before_control,after_control
bulk/series/avx2/local/k6/h0/u64/encode,calico,bulk/calico/local/k6/h0/u64/encode,0.8278452846837333,0.8297523884175285,0.06265827925949852,0.06271281372565238
bulk/series/avx2/local/k6/h0/u64/decode,calico,bulk/calico/local/k6/h0/u64/decode,0.9221059383274047,0.920240104621808,0.06989037224817629,0.0692572895851102
bulk/series/avx2/local/k6/h0/u8/encode,predecessor,bulk/predecessor/local/k6/h0/u8/encode,3.909692566530463,3.870548161870831,0.007075862868920691,0.007028678084789151
bulk/series/avx2/local/k6/h0/u8/encode,calico,bulk/calico/local/k6/h0/u8/encode,3.8365083887443574,3.7745196483046164,0.007210840080936818,0.007207496470095715
bulk/series/avx2/local/k6/h0/u8/decode,predecessor,bulk/predecessor/local/k6/h0/u8/decode,1.9659191581217539,1.8270118480921675,0.0053905104587811375,0.0057830065684403385
bulk/series/avx2/local/k6/h0/u8/decode,calico,bulk/calico/local/k6/h0/u8/decode,2.235470863285331,2.2108762113189058,0.0047405260149082536,0.0047789294868898925
bulk/series/avx512/local/k6/h0/u64/encode,calico,bulk/calico/local/k6/h0/u64/encode,0.744203610527284,0.7513499151080771,0.06265827925949852,0.06271281372565238
bulk/series/avx512/local/k6/h0/u64/decode,calico,bulk/calico/local/k6/h0/u64/decode,0.8182616699359041,0.8182323140917994,0.06989037224817629,0.0692572895851102
bulk/series/avx512/local/k6/h0/u8/encode,predecessor,bulk/predecessor/local/k6/h0/u8/encode,1.2037485660861313,1.2144058040399732,0.007075862868920691,0.007028678084789151
bulk/series/avx512/local/k6/h0/u8/encode,calico,bulk/calico/local/k6/h0/u8/encode,1.1812160145949038,1.1842763290015397,0.007210840080936818,0.007207496470095715
bulk/series/avx512/local/k6/h0/u8/decode,predecessor,bulk/predecessor/local/k6/h0/u8/decode,2.061842626464667,0.9417467343064704,0.0053905104587811375,0.0057830065684403385
bulk/series/avx512/local/k6/h0/u8/decode,calico,bulk/calico/local/k6/h0/u8/decode,2.344546619376302,1.1396124519606323,0.0047405260149082536,0.0047789294868898925
bulk/series/avx2/striped/k6/h0/u64/encode,calico,bulk/calico/striped/k6/h0/u64/encode,0.7895969233580898,0.7981407517289083,0.061479453146353405,0.0611711883546462
bulk/series/avx2/striped/k6/h0/u64/decode,calico,bulk/calico/striped/k6/h0/u64/decode,1.0036539174223646,0.9992270447291365,0.06546450894288605,0.06564312439508697
bulk/series/avx2/striped/k6/h0/u8/encode,predecessor,bulk/predecessor/striped/k6/h0/u8/encode,1.202089155223627,1.183791215697607,0.004589050886277066,0.004583065844448326
bulk/series/avx2/striped/k6/h0/u8/encode,calico,bulk/calico/striped/k6/h0/u8/encode,1.228912127724009,1.2060889581397123,0.0044888875117374775,0.004498335757911143
bulk/series/avx2/striped/k6/h0/u8/decode,predecessor,bulk/predecessor/striped/k6/h0/u8/decode,1.0288848788374,0.9922550619284863,0.0053531985762456415,0.0053352310671738075
