input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:body_bytes_per_block,counter:population_per_block,counter:blocks_per_call
zen5,codec/population224/native_encode_admitted_exact,1,5,"[12.611938614817172,12.61837313924462,12.626974464955097,12.619817974253682,12.624140747326324]",12.619817974253682,"[12.611966591006235,12.620757432876415,12.627011465720141,12.619854072586458,12.649788599239445]",12.620757432876415,,,20.26953125,224.0,1.0
zen5,codec/population224/native_encode_checked_exact,1,5,"[13.235439043894164,13.213169484501039,13.229227058361035,13.24537107945294,13.251140492729908]",13.235439043894164,"[13.240551646124741,13.213216466689389,13.276529669736655,13.253462352722071,13.252682448316996]",13.252682448316996,,,20.26953125,224.0,1.0
zen5,codec/population224/native_encode_wide,1,5,"[12.472152021644527,12.489273341606236,12.462620381498065,12.462905439893216,12.477461234284311]",12.472152021644527,"[12.53813502326728,12.85929873852612,12.803568931133922,12.576261583840475,12.709829258905609]",12.709829258905609,,,20.26953125,224.0,1.0
zen5,codec/population224/native_pair_exact_materialized,1,5,"[51.84445599123586,51.88687809675556,51.92592276430725,51.91204186538121,51.92109785291497]",51.91204186538121,"[51.84460445002714,51.887030267083375,51.94247592181254,51.920207100075004,51.92120919700678]",51.920207100075004,,,20.26953125,224.0,2.0
zen5,codec/population224/native_pair_materialized,1,5,"[50.767620629980144,50.80462676441629,50.8132244056904,50.81696093333148,50.80578762737863]",50.80578762737863,"[50.76780564246471,50.81413132986643,50.813369513565526,50.81710604118082,50.811954711849104]",50.813369513565526,,,20.26953125,224.0,2.0
zen5,codec/population224/prepare_checked,1,5,"[14.838599405091236,14.82161869980297,14.84287909504338,14.859700506661044,14.839926852346869]",14.839926852346869,"[14.838631263812905,14.821661178131857,14.842942812507468,14.87205107592109,14.839959773041521]",14.839959773041521,,,20.26953125,224.0,1.0
zen5,codec/population224/spike_decode_padded,1,5,"[44.28746396342841,43.83904707111058,43.85361804048684,43.803429493395875,43.57961189941325]",43.83904707111058,"[44.41022594381688,43.83920653886436,43.853777508246175,43.82713702339302,43.57974009893427]",43.83920653886436,,,20.26953125,224.0,1.0
zen5,codec/population224/spike_encode_wide,1,5,"[16.506031430593662,16.402077480070265,16.456441444528405,16.58295187190332,16.55696795267119]",16.506031430593662,"[16.5060908198075,16.402124306169863,16.45647799172428,16.586311930401227,16.809536535768824]",16.5060908198075,,,20.26953125,224.0,1.0
zen5,codec/population224/spike_pair_materialized,1,5,"[59.750751173709276,59.770294494240666,59.741826717887996,59.74989756721948,59.77362782757687]",59.750751173709276,"[59.76760990184309,59.77046948353958,59.74200170716416,59.75007255654871,59.78157063593222]",59.76760990184309,,,20.26953125,224.0,2.0
zen5,codec/population240/decode_exact,1,5,"[41.890699283728246,41.8983382911953,41.90118719163448,41.93668610868728,41.946931365763945]",41.90118719163448,"[41.89082210699041,41.89846111447344,41.901310014832795,41.94132942700656,41.94708115015668]",41.901310014832795,,,12.390625,240.0,1.0
zen5,codec/population240/decode_padded,1,5,"[41.031458110934196,41.04254273722778,41.04098971966632,41.00057031718472,40.982469327171145]",41.031458110934196,"[41.10346431131481,41.05810508458362,41.04111255718746,41.00072240178492,40.9825892400301]",41.04111255718746,,,12.390625,240.0,1.0
zen5,codec/population240/encode_bound_exact,1,5,"[13.357452152652213,13.358397639148185,13.347251403904147,13.353105779883956,13.366114337013325]",13.357452152652213,"[13.357499904484117,13.360747984847151,13.349582648894783,13.353144936374886,13.388156587830697]",13.357499904484117,,,12.390625,240.0,1.0
zen5,codec/population240/encode_checked_exact,1,5,"[13.454695456991312,13.45575378327585,13.45647536937972,13.452559562122829,13.464884252778308]",13.45575378327585,"[13.454733941567909,13.458197554880162,13.456513853975117,13.465885814279508,13.469002104155905]",13.458197554880162,,,12.390625,240.0,1.0
zen5,codec/population240/encode_staged_exact,1,5,"[21.13983587954516,21.12085247266993,21.085752787150177,21.100224239609005,21.093433672761048]",21.100224239609005,"[21.13989774914324,21.12092792342695,21.085813147735962,21.104947456090386,21.093524213670545]",21.104947456090386,,,12.390625,240.0,1.0
zen5,codec/population240/native_encode_admitted_exact,1,5,"[12.616551052125965,12.622608792578518,12.612702827335218,12.593205514619969,12.59887852248265]",12.612702827335218,"[12.616604986608628,12.6491553411903,12.637981915760914,12.593260347988267,12.598914478799102]",12.616604986608628,,,12.390625,240.0,1.0
zen5,codec/population240/native_encode_checked_exact,1,5,"[13.307106937704713,13.197247406843157,13.309331198044275,13.228529025651083,13.257302435991136]",13.257302435991136,"[13.308886345963248,13.198780726726962,13.328063256061556,13.230554522289394,13.257340295754805]",13.257340295754805,,,12.390625,240.0,1.0
zen5,codec/population240/native_encode_wide,1,5,"[12.435009190259906,12.439916005301612,12.438367375291495,12.43972988472994,12.443621496659624]",12.43972988472994,"[12.43504570194272,12.44602592510265,12.438402996449934,12.439765505882054,12.445447081194168]",12.439765505882054,,,12.390625,240.0,1.0
zen5,codec/population240/native_pair_exact_materialized,1,5,"[51.90769110984486,51.8814410820325,51.91047183312909,51.940796547455896,51.83753902281727]",51.90769110984486,"[51.91696018747652,51.88151523458711,51.92152428129006,51.94098934433894,51.83769103563029]",51.91696018747652,,,12.390625,240.0,2.0
zen5,codec/population240/native_pair_materialized,1,5,"[50.75504411561967,50.754391624921624,50.79270732892501,50.73949308722297,50.816885734380676]",50.75504411561967,"[50.755189113501054,50.76349024520133,50.79281607739079,50.73964171014315,50.864738677430424]",50.76349024520133,,,12.390625,240.0,2.0
zen5,codec/population240/prepare_checked,1,5,"[14.846335101368442,14.83126105022703,14.827442006921672,14.841398003885471,14.846663815681342]",14.841398003885471,"[14.846377653394041,14.83130360223562,14.827495196938552,14.844568128944072,14.846718069508123]",14.844568128944072,,,12.390625,240.0,1.0
zen5,codec/population240/spike_decode_padded,1,5,"[43.96098080757163,43.8078663341897,43.777180943808055,43.888951384590655,43.76652230159037]",43.8078663341897,"[43.961105799016565,43.83633312709398,43.77730593519193,43.8957696658762,43.76665354258397]",43.83633312709398,,,12.390625,240.0,1.0
zen5,codec/population240/spike_encode_wide,1,5,"[16.631913085700063,16.511569555717564,16.416253945133757,16.720248846806218,16.458207089098163]",16.511569555717564,"[16.631961641187335,16.511629036157345,16.426317067246757,16.752937606214527,16.45826535566607]",16.511629036157345,,,12.390625,240.0,1.0
zen5,codec/population240/spike_pair_materialized,1,5,"[59.781781794598764,59.835761346378135,59.76829757454852,59.80725672931181,59.804824449108956]",59.804824449108956,"[59.79385785240317,59.850141669650235,59.76846826084689,59.80743168282184,59.938390769259335]",59.80743168282184,,,12.390625,240.0,2.0
zen5,codec/population248/decode_exact,1,5,"[41.976939291357525,41.98818329830539,41.978708348447334,41.987103873634645,41.98386260123096]",41.98386260123096,"[41.97705922740423,41.98830623277551,41.978828284536654,41.99450992621954,41.983925567637776]",41.983925567637776,,,7.10546875,248.0,1.0
zen5,codec/population248/decode_padded,1,5,"[41.19572612758562,41.050128485743286,41.064427469286386,41.09525232724367,41.08555363144419]",41.08555363144419,"[41.4220221927349,41.07811112776084,41.06454760418342,41.09539883324511,41.091765485000664]",41.091765485000664,,,7.10546875,248.0,1.0
zen5,codec/population248/encode_bound_exact,1,5,"[13.3929045321069,13.373918787666787,13.371892112025394,13.373421678545437,13.373544999847892]",13.373544999847892,"[13.416499051667694,13.37561182661378,13.373364319801254,13.373469477501471,13.375258114346945]",13.375258114346945,,,7.10546875,248.0,1.0
zen5,codec/population248/encode_checked_exact,1,5,"[13.465376321697384,13.456304577706776,13.464989777298829,13.450290486669982,13.455399427605578]",13.456304577706776,"[13.465414879719688,13.460710798275992,13.503230682182146,13.450338684216268,13.458252722915324]",13.460710798275992,,,7.10546875,248.0,1.0
zen5,codec/population248/encode_staged_exact,1,5,"[22.351536179173177,22.313377360897956,22.295750382848798,22.34904766462306,22.36075644461537]",22.34904766462306,"[22.351601582445564,22.31344435934377,22.297698124059924,22.352541156200417,22.36611791730991]",22.351601582445564,,,7.10546875,248.0,1.0
zen5,codec/population248/native_encode_admitted_exact,1,5,"[12.656466801602601,12.61479671644874,12.614066437365361,12.632359477625505,12.60863893108747]",12.61479671644874,"[12.66396884142308,12.622847817975362,12.614112417900868,12.632395540775507,12.608684010053395]",12.622847817975362,,,7.10546875,248.0,1.0
zen5,codec/population248/native_encode_checked_exact,1,5,"[13.307773445143917,13.272178922399398,13.274554817894249,13.292730561614286,13.268312961470071]",13.274554817894249,"[13.30781258201693,13.294171944566983,13.30777439971073,13.342329408499825,13.268350189239982]",13.30777439971073,,,7.10546875,248.0,1.0
zen5,codec/population248/native_encode_wide,1,5,"[12.526035695722152,12.441976651451782,12.443792412257173,12.441567215193015,12.442518709457019]",12.442518709457019,"[13.064224527736092,12.442056758538465,12.443845816980046,12.441611719126898,12.447263719674035]",12.443845816980046,,,7.10546875,248.0,1.0
zen5,codec/population248/native_pair_exact_materialized,1,5,"[51.82160145107484,51.89267154562773,51.909177908925315,51.94797713590303,51.99089368047151]",51.909177908925315,"[51.8217127298389,51.8928199174515,51.91845114673488,51.94808841476592,52.25900524115093]",51.91845114673488,,,7.10546875,248.0,2.0
zen5,codec/population248/native_pair_materialized,1,5,"[50.79679483693115,50.79215387683497,50.79299142510122,50.75858305686984,50.809669875457324]",50.79299142510122,"[50.796907235205715,50.80245825850484,50.79313645512274,50.86953100925523,50.81985823316021]",50.80245825850484,,,7.10546875,248.0,2.0
zen5,codec/population248/prepare_checked,1,5,"[14.847775250359298,14.843682106611922,14.841268119526486,14.844532850962441,14.82773065008503]",14.843682106611922,"[14.847819914414824,14.843724643806402,14.84898862446532,14.85285951126736,14.827783821601743]",14.847819914414824,,,7.10546875,248.0,1.0
zen5,codec/population248/spike_decode_padded,1,5,"[43.88165240395122,43.81889645173571,43.859378089081545,43.72729497933588,43.90604180592138]",43.859378089081545,"[44.191895513464864,43.818990595075,43.85947223242084,43.77188754263878,43.90619871154448]",43.85947223242084,,,7.10546875,248.0,1.0
zen5,codec/population248/spike_encode_wide,1,5,"[16.464809144110102,16.426578014102123,16.756984444680718,16.464567028994928,16.347936718025043]",16.464567028994928,"[16.464867943492493,16.42662528419839,16.763386660144526,16.48730394440135,16.347995517395145]",16.464867943492493,,,7.10546875,248.0,1.0
zen5,codec/population248/spike_pair_materialized,1,5,"[59.79380915180694,59.797779286145996,59.73626781757934,59.78638542747182,59.926023163389786]",59.79380915180694,"[59.85007833546822,59.97059112301332,59.73648126571794,59.817382358089965,60.12756511222041]",59.85007833546822,,,7.10546875,248.0,2.0
zen5,codec/population252/decode_exact,1,5,"[42.09718517362921,42.03246307059219,41.99951690966312,41.998466713285445,41.98322386285845]",41.99951690966312,"[42.18381137270033,42.032586093650316,41.99963693214923,42.013079445817596,41.98334388530192]",42.013079445817596,,,4.0,252.0,1.0
zen5,codec/population252/decode_padded,1,5,"[41.08736318758372,41.11414861345026,41.102225707074524,41.12316421013363,41.106542621452306]",41.106542621452306,"[41.08748359140099,41.12953679799532,41.102313807448226,41.2840676492759,41.106663025175685]",41.106663025175685,,,4.0,252.0,1.0
zen5,codec/population252/encode_bound_exact,1,5,"[13.366159909802827,13.395504845839463,13.360139699508757,13.372390683891446,13.36693421029979]",13.36693421029979,"[13.366199151237034,13.435167407778463,13.360187554917074,13.372429925346054,13.411861824210783]",13.372429925346054,,,4.0,252.0,1.0
zen5,codec/population252/encode_checked_exact,1,5,"[13.463337784584299,13.473006749997287,13.469244031216908,13.467724897249115,13.472602673829892]",13.469244031216908,"[13.463377230128351,13.504958591835317,13.469283476754121,13.467763380669377,13.475912250064267]",13.469283476754121,,,4.0,252.0,1.0
zen5,codec/population252/encode_staged_exact,1,5,"[21.39648464999421,21.47511707630287,21.46516788589259,21.405818615896923,21.377660616445148]",21.405818615896923,"[21.39657800495418,21.610085396825855,21.47293012153138,21.40806984791582,21.37994092619835]",21.40806984791582,,,4.0,252.0,1.0
zen5,codec/population252/native_encode_admitted_exact,1,5,"[12.646896715902702,12.62324546419379,12.654674461372087,12.666840817897622,12.61952014217902]",12.646896715902702,"[12.709900997309783,12.632322529289922,12.662524896070414,12.695571228176211,12.619555578171832]",12.662524896070414,,,4.0,252.0,1.0
zen5,codec/population252/native_encode_checked_exact,1,5,"[13.328174991587304,13.277071286903052,13.281636500359639,13.253682907326715,13.274841099121039]",13.277071286903052,"[13.40617437971527,13.277118940502275,13.281684153948705,13.264538394018446,13.274888752710103]",13.277118940502275,,,4.0,252.0,1.0
zen5,codec/population252/native_encode_wide,1,5,"[12.453403771815232,12.445136219251115,12.460152794317002,12.463500664690542,12.452471341075]",12.453403771815232,"[12.457400791590008,12.445171740423538,12.515530300014673,12.487104482861318,12.476279405974196]",12.476279405974196,,,4.0,252.0,1.0
zen5,codec/population252/native_pair_exact_materialized,1,5,"[51.87233522376669,51.89004545168327,51.882785036140255,51.88434083946902,51.926829087599124]",51.88434083946902,"[51.872490804073244,51.89019362338876,51.89734291021846,52.01665820858277,51.9269402164572]",51.89734291021846,,,4.0,252.0,2.0
zen5,codec/population252/native_pair_materialized,1,5,"[50.767103495467765,50.79480512896096,50.781439543455946,50.86776724835126,50.79498618539112]",50.79480512896096,"[50.77688416377393,50.806722263011814,50.78162422095065,50.982669278717964,50.80577714846927]",50.80577714846927,,,4.0,252.0,2.0
zen5,codec/population252/prepare_checked,1,5,"[14.838347982273767,14.84090933245463,14.860742260152671,14.847191548607697,14.858361586123703]",14.847191548607697,"[14.838402185124432,14.840963535314735,14.867108437578555,14.847234060647432,14.858414726162048]",14.847234060647432,,,4.0,252.0,1.0
zen5,codec/population252/spike_decode_padded,1,5,"[43.79125154637373,43.80000251826389,43.902621828954324,43.98235325595966,43.754957047833166]",43.80000251826389,"[43.7914089379452,43.800128431550135,43.90271626388825,43.98899832849209,43.8502104325697]",43.8502104325697,,,4.0,252.0,1.0
zen5,codec/population252/spike_encode_wide,1,5,"[16.614760974516482,16.59292410724703,16.523721450837407,16.388996508905507,16.354015459893475]",16.523721450837407,"[16.614820561464118,16.592972010480743,16.575423067415503,16.389031560065945,16.354062194759532]",16.575423067415503,,,4.0,252.0,1.0
zen5,codec/population252/spike_pair_materialized,1,5,"[59.77133870499873,59.72208470612872,59.709921644274935,59.6995979788076,59.718205329542585]",59.718205329542585,"[59.793915054857926,59.72225968352417,59.710096621609736,59.699768688325236,59.725631198919686]",59.72225968352417,,,4.0,252.0,2.0
zen5,codec/population254/decode_exact,1,5,"[42.003790982680805,42.01225540957262,41.994606179025666,42.00658244261072,42.00018909889615]",42.003790982680805,"[42.00391104547292,42.0123754723434,41.994726241785784,42.019609255634734,42.00030916173092]",42.00391104547292,,,2.0,254.0,1.0
zen5,codec/population254/decode_padded,1,5,"[41.05632608759906,41.117075889591085,41.06216081433669,41.039487811315155,41.048610988873826]",41.05632608759906,"[41.05644342756524,41.130367567263825,41.06231335615204,41.039634486186905,41.048728328819166]",41.05644342756524,,,2.0,254.0,1.0
zen5,codec/population254/encode_bound_exact,1,5,"[13.363373470495398,13.36881892802762,13.354488776627033,13.353313704209809,13.366487890066685]",13.363373470495398,"[13.392980518649825,13.372372805570892,13.354526990374056,13.353351917950047,13.36652705913685]",13.36652705913685,,,2.0,254.0,1.0
zen5,codec/population254/encode_checked_exact,1,5,"[13.46794289121997,13.467856046966125,13.466659526136896,13.48893990184701,13.490030279694366]",13.46794289121997,"[13.501117396085911,13.473240390670233,13.466707772934685,13.513748410274074,13.503559649461248]",13.501117396085911,,,2.0,254.0,1.0
zen5,codec/population254/encode_staged_exact,1,5,"[21.24629151136998,21.252434850876362,21.25424888909157,21.247067431917365,21.244994245385698]",21.247067431917365,"[21.25077325282214,21.252495826950504,21.25429462114582,21.24975190358703,21.245056745894324]",21.25077325282214,,,2.0,254.0,1.0
zen5,codec/population254/native_encode_admitted_exact,1,5,"[12.611876406343647,12.603877169289454,12.621349352800454,12.623320596573487,12.62386941387287]",12.621349352800454,"[12.611921391365462,12.612893967614575,12.621386240533173,12.62335658460884,12.62390540188265]",12.621386240533173,,,2.0,254.0,1.0
zen5,codec/population254/native_encode_checked_exact,1,5,"[13.231162456441792,13.295871324164883,13.306698589617099,13.309081188510486,13.270873406517238]",13.295871324164883,"[13.259637418833801,13.299725129445365,13.340093715538705,13.323125931004817,13.270911179415869]",13.299725129445365,,,2.0,254.0,1.0
zen5,codec/population254/native_encode_wide,1,5,"[12.44950259333111,12.460385444672177,12.43646270049042,12.443218767503314,12.460217674779795]",12.44950259333111,"[12.516762342843757,12.533574839117488,12.43649909502076,12.44314775376981,12.50222317302298]",12.50222317302298,,,2.0,254.0,1.0
zen5,codec/population254/native_pair_exact_materialized,1,5,"[51.86679769061725,51.93976489994798,51.911046135783295,51.93069972730332,51.96291081207647]",51.93069972730332,"[51.8669463000568,51.939880072232945,51.91119474517004,51.95536888563612,51.963096573800016]",51.939880072232945,,,2.0,254.0,2.0
zen5,codec/population254/native_pair_materialized,1,5,"[50.82282817359014,50.81538885845881,50.86756930356941,50.77107594270116,50.83168277309346]",50.82282817359014,"[50.823013249186126,50.82565874230835,50.94345394703431,50.77126101843897,50.84892383953433]",50.82565874230835,,,2.0,254.0,2.0
zen5,codec/population254/prepare_checked,1,5,"[14.840677588084676,14.84424607705358,14.84299285771183,14.837225924645809,14.843968881928097]",14.84299285771183,"[14.840720070080849,14.844288559072393,14.843035339734413,14.847389745898514,14.844013488028793]",14.844013488028793,,,2.0,254.0,1.0
zen5,codec/population254/spike_decode_padded,1,5,"[43.94707262424215,43.88894716262981,43.887767895379866,43.84888000644518,43.78737190986006]",43.887767895379866,"[43.95507922817273,43.88907439937996,43.887926165458964,43.85453428251299,43.86517561778944]",43.887926165458964,,,2.0,254.0,1.0
zen5,codec/population254/spike_encode_wide,1,5,"[16.410793646996407,16.521540651089154,16.371217738657112,16.384482263737926,16.586852680174474]",16.410793646996407,"[16.410840289881463,16.549441481090795,16.376886645775343,16.384528906652726,16.586900519044338]",16.410840289881463,,,2.0,254.0,1.0
zen5,codec/population254/spike_pair_materialized,1,5,"[60.00170721297351,59.87653008962657,59.78442594964141,59.81105420400556,59.81694408878596]",59.81694408878596,"[61.28622279126473,60.3704737516181,59.78463935118994,59.81127187361721,59.857793427209124]",59.857793427209124,,,2.0,254.0,2.0
zen5,codec/population255/decode_exact,1,5,"[42.005432565384936,42.01089212862399,42.024121070316184,42.00846232300989,42.07721682265836]",42.01089212862399,"[42.00555555551327,42.01098212146399,42.03138048957714,42.00858231342059,42.08825893928613]",42.01098212146399,,,1.0,255.0,1.0
zen5,codec/population255/decode_padded,1,5,"[41.12064155796481,41.088663499204316,41.06032958836994,41.09365841912301,41.122876204686754]",41.09365841912301,"[41.129541970868665,41.088813258730994,41.06044704677233,41.093775877514965,41.135209340233864]",41.093775877514965,,,1.0,255.0,1.0
zen5,codec/population255/encode_bound_exact,1,5,"[3.323927324082179,3.322160591715914,3.327162886019154,3.3217328765329435,3.324134167999988]",3.323927324082179,"[3.3253585888997823,3.322170339534411,3.3271726338393397,3.3276505146170927,3.3246812344986147]",3.3253585888997823,,,1.0,255.0,1.0
zen5,codec/population255/encode_checked_exact,1,5,"[6.0627977825157675,6.055166393777081,6.0587981365363035,6.054351193125483,6.066629095417813]",6.0587981365363035,"[6.066034723464913,6.055184181556816,6.0596007555862474,6.0543685470524204,6.067323252444437]",6.0596007555862474,,,1.0,255.0,1.0
zen5,codec/population255/encode_staged_exact,1,5,"[11.824485638279231,11.826633161599315,11.861922921508588,11.833132134558928,11.839041822404665]",11.833132134558928,"[11.824520153549999,11.826666835037129,11.88945937300139,11.866536182106183,11.839075495830514]",11.839075495830514,,,1.0,255.0,1.0
zen5,codec/population255/native_encode_admitted_exact,1,5,"[2.443227996257951,2.4456557458426524,2.4468969762995028,2.440864746607973,2.447050797282329]",2.4456557458426524,"[2.443713930727257,2.445663087298031,2.4469057161306766,2.440873486438526,2.447335715695499]",2.445663087298031,,,1.0,255.0,1.0
zen5,codec/population255/native_encode_checked_exact,1,5,"[5.491680894907587,5.475235403786855,5.497604160533366,5.4809855755072645,5.4984048670398185]",5.491680894907587,"[5.491700912571886,5.47525502894375,5.498656069077914,5.484290452351156,5.498420567167286]",5.491700912571886,,,1.0,255.0,1.0
zen5,codec/population255/native_encode_wide,1,5,"[2.193788856265728,2.194453055889601,2.194666101052574,2.19397997030832,2.194067538136193]",2.194067538136193,"[2.193795122302667,2.195042219757253,2.19467236708673,2.193986236341363,2.1945799430847384]",2.1945799430847384,,,1.0,255.0,1.0
zen5,codec/population255/native_pair_exact_materialized,1,5,"[51.9174035712995,51.913542710770166,51.892901956410974,51.89234510153403,51.89583101311694]",51.89583101311694,"[51.91755206594742,51.91369120541809,51.91510190441504,51.8924935962479,51.89598693253682]",51.91369120541809,,,1.0,255.0,2.0
zen5,codec/population255/native_pair_materialized,1,5,"[50.87399342138682,50.82534000391952,50.82828077461753,50.8057021906915,50.79441108343133]",50.82534000391952,"[51.06576071563599,50.82548885780898,50.828429628468285,50.82294745097591,50.79452000082207]",50.82548885780898,,,1.0,255.0,2.0
zen5,codec/population255/prepare_checked,1,5,"[3.490032774387726,3.488859324256875,3.4877232451506015,3.4829372627719413,3.486073937324082]",3.4877232451506015,"[3.4900427399938674,3.488869289860361,3.488423578127717,3.491574951951992,3.4860839029337636]",3.488869289860361,,,1.0,255.0,1.0
zen5,codec/population255/spike_decode_padded,1,5,"[43.94689794078361,43.95616487578621,43.881682673667385,43.912414856094415,43.734511768056386]",43.912414856094415,"[43.947024021542454,43.95629095655625,43.937032122277266,43.91254093681967,43.734641000867796]",43.937032122277266,,,1.0,255.0,1.0
zen5,codec/population255/spike_encode_wide,1,5,"[2.319544748542479,2.3186400647658174,2.3187162835459483,2.3186417216959483,2.3181859002552256]",2.3186417216959483,"[2.3195513762653572,2.324227398397231,2.320076623070908,2.3189996185777133,2.3181928593623637]",2.3195513762653572,,,1.0,255.0,1.0
