az_src,az_dst,n,p50_us,p50_lo_us,p50_hi_us,p90_us,p90_lo_us,p90_hi_us,p99_us,p99_lo_us,p99_hi_us,min_us,max_us,p50_clock_only_lo_us,p50_clock_only_hi_us,block_p50_min_us,block_p50_max_us
4,2,4800,180.77008375837718,131.65380420370371,229.08637206886888,219.77225111254327,175.8556933853053,269.73181864398396,230.51576135006587,189.56168347983277,281.899928086061,125.54280342632396,288.8202730850901,131.65380420370371,229.08637206886888,127.12429800191802,229.9899322847638
4,3,4800,337.9431881971054,0.0,682.6162236697697,364.87280169983376,0.0,718.9445049671672,383.6290491943774,0.0,731.5650967930271,282.66024054366227,418.4845783518267,-160.80226312876002,820.4613735049898,284.9718812726095,382.43397068374406
4,4,2400,79.08314312660295,32.64179143023023,127.83876101326325,107.0772840876139,65.79006702148146,145.50303393531536,111.21576120376241,74.18127811755956,154.54494961667965,72.96725815636638,121.15018658200698,32.64179143023023,127.83876101326325,74.89621935740836,109.81634775581422
4,5,4800,168.442624532062,122.11376236621626,218.93184304394399,191.04197041708557,146.61410054049048,244.38077985539542,198.31445306221204,158.63974840994294,253.55949763018018,112.88600345231352,221.27358934015453,122.11376236621626,218.93184304394399,115.8021210444218,197.88350545650349
4,6,4800,406.5939751838951,362.97704707907906,457.79282158593594,459.89977181015337,413.0382182208108,511.48030444776776,473.0594810285919,432.20537730804097,528.4213683214255,381.574849053039,479.3538890410657,362.97704707907906,457.79282158593594,384.1668281133673,471.66569201216987
5,1,4800,113.35932164573717,64.35972772197198,159.0401527921923,120.33700032686033,78.4357527561462,173.0870186176277,126.33371575870727,86.21131932048546,180.25611097918323,98.63544214889296,153.89336502408432,64.35972772197198,159.0401527921923,101.57735134490119,122.27070882846829
5,2,4800,172.21931021310553,125.93297512807811,219.2348744161161,206.91888676530607,156.4151049245546,249.14345767530537,213.5436681287834,174.10230059793085,268.8193280864406,104.01516023977906,233.42166058758727,125.93297512807811,219.2348744161161,107.36521946842251,211.93201144969674
5,3,4800,229.28382047374117,0.0,454.4631945857358,241.50612656026527,0.0,463.2123315809009,247.0798891158033,0.0,473.1193779534915,211.3205420608565,330.19608012594784,-266.0185297848939,719.2491371214496,213.83832081070176,244.27148131817347
5,4,4800,165.28908326954507,112.73581101861863,211.20059675005,179.59374128479544,136.91638532186195,233.2820991186587,184.71902727798022,145.77068319639844,240.24198423097496,115.75813193491894,196.42468931306874,112.73581101861863,211.20059675005,117.72602403078332,183.73267178190912
5,5,2400,37.12435975116055,0.0,74.1091549984985,40.68103842120901,0.6706531939038531,78.60091874542542,48.06830742497137,6.293149253958009,86.92358507007008,31.593351354977,68.37651401367376,-8.537161837937951,83.26503712547556,34.162191408523185,40.14846100201679
5,6,4800,332.2286083236895,274.3207686962962,374.4706388176676,400.56672337580665,353.0952952495196,451.1635328852953,406.12998170946435,365.6943751565475,460.65460804838347,285.46970099260216,430.568242584978,274.3207686962962,374.4706388176676,288.7281979789472,402.9561818836776
6,1,4800,272.8849324976385,214.9398272871871,309.1911214628128,288.55193788425186,246.22161121958948,340.9338358926326,297.34051823884283,256.1625920178649,349.6386920803334,220.34145305726136,340.88404647376274,214.9398272871871,309.1911214628128,222.87967381806004,290.48864685321166
6,2,4800,387.9806768632128,345.8450774876376,432.1901165614614,548.3499760933574,499.24215805984994,594.6670209243944,606.8314598511573,559.0558135556448,660.67733204484,292.73692410310287,616.8942070987874,345.8450774876376,432.1901165614614,294.62727097419145,605.0828628679126
6,3,4800,213.2075982893333,0.0,431.42027599244244,259.21090299356547,0.0,503.383768543003,265.81287887053196,0.0,512.0686235797777,170.35940131029636,3260.8991940782303,-252.13689238346728,695.4638633473683,172.39382231941306,264.19671243244613
6,4,4800,400.2477465374366,353.4266584067067,447.7812396457458,460.68448536222576,406.43099449457463,509.89827461666664,473.2712703275059,435.1567827635395,525.975671486009,382.31736365961495,505.3687159927546,353.4266584067067,447.7812396457458,384.7675314391354,471.57583333304194
6,5,4800,341.60674864564476,293.3104253556056,392.1353667074575,399.08543853455785,352.124726437968,446.4818237629729,405.76912681835387,365.7858245353433,460.0577363563954,284.4829808795096,424.8843798544161,293.3104253556056,392.1353667074575,287.0373819095444,402.35070404286364
6,6,2400,128.0204832473741,74.52678092072074,167.57090818753755,140.8178710169073,97.48857279517516,186.79431257172175,146.02085508567907,106.64309143157853,198.99152385711918,84.73017621263239,197.96339787847685,74.52678092072074,167.57090818753755,87.37711501141094,144.2540550397606
