src,dst,host_src,host_dst,az_src,az_dst,flow,rank_mode,training_rank_blocks,holdout_request_blocks,train_worst_p50_us,holdout_worst_p50_us,holdout_request_p50_us,train_worst_p90_us,holdout_worst_p90_us,holdout_request_p90_us,train_worst_p99_us,holdout_worst_p99_us,holdout_request_p99_us,train_worst_p50_lo_us,holdout_worst_p50_lo_us,holdout_request_p50_lo_us,train_worst_p50_hi_us,holdout_worst_p50_hi_us,holdout_request_p50_hi_us,holdout_rtt_max_p50_us,same_role_0_2_abs_change_us,candidates_considered
5,6,az3b,az4a,3,4,2,request,2,1,281.83548078498757,278.65345355594343,278.65345355594343,284.5251809513944,280.60370526531955,280.60370526531955,287.0345537769577,284.6599767082314,284.6599767082314,0.0,0.0,0.0,580.5176206683184,582.474717014965,580.7129185759259,582.26425,1.7045475694104084,16
5,8,az3b,az5a,3,5,1,request,2,1,212.628318593333,207.3985388000952,207.3985388000952,215.95828035445922,210.01223744325918,210.01223744325918,223.19046978482146,218.34580723039386,218.34580723039386,0.0,0.0,0.0,439.3468383354855,439.38962831776774,437.94823126751754,439.219,2.822189895437077,16
5,11,az3b,az6b,3,6,3,request,2,1,173.33461185928667,167.8131020161817,167.8131020161817,175.95963733372196,170.66573163050896,170.66573163050896,180.88111979870052,174.41378132961518,173.44074295632072,0.0,0.0,0.0,370.6767964893894,370.96728596886885,369.8274893201201,370.78625,2.5541129301088006,16
7,0,az4b,az1a,4,1,2,request,1,1,169.13163783526605,170.15380964379088,170.15380964379088,173.8297880534182,176.487934345599,174.03730664043985,183.32907010907846,194.8797714128297,183.3954816260823,113.29184690610607,122.76633703803802,112.44067236951952,225.4366377629629,224.85831639159161,224.85831639159161,347.01175,1.4341333504153795,16
7,3,az4b,az2b,4,2,3,request,1,1,129.72714010736686,130.2648818399451,130.2648818399451,132.96070106899754,133.6482493252239,133.6482493252239,151.7321475746404,140.41033125602672,140.41033125602672,75.94805039759758,88.71429720915916,78.45523086721721,184.84796790075075,182.42887422597593,182.42887422597593,267.1875,0.9766790976431707,16
6,4,az4a,az3a,4,3,0,request,1,1,291.4552127347207,288.1331438286478,288.1331438286478,294.89224790924794,290.62091523560224,290.62091523560224,297.1338209919343,297.04231485171675,297.04231485171675,0.0,0.0,0.0,583.3144021464965,580.7346378995495,580.7069520702203,580.55625,0.43895558968290516,16
7,9,az4b,az5b,4,5,0,request,2,1,117.6940380717019,116.78924147648348,116.78924147648348,120.58675007136118,118.50255707346732,118.50255707346732,125.7635664378872,120.92751382179046,120.92751382179046,74.91743183198194,76.59730413463458,62.22799676576575,160.74692094854856,172.58433464284292,172.58433464284292,237.35425,0.8770830299482668,16
6,11,az4a,az6b,4,6,2,request,2,1,387.86796842613535,385.92348921302937,385.92348921302937,392.16340184809746,388.1113076613185,388.1113076613185,398.238649660968,391.800272988487,391.800272988487,346.63268148093096,341.71394025665666,338.2663334951952,442.55548435015015,439.0944330633133,439.0944330633133,781.807,1.9663848330021665,16
8,0,az5a,az1a,5,1,1,request,1,1,106.80438510617782,107.37537181608492,107.37537181608492,109.98305501678595,110.15728262398484,110.15728262398484,119.2605744942539,114.57066496590156,113.15689695738645,59.88306340455455,67.28685871356353,60.37026455305309,154.3393069219219,152.5088873009009,152.5088873009009,211.83225,0.7006561426142355,16
8,3,az5a,az2b,5,2,0,request,1,1,111.37585143382506,110.38261155602385,110.38261155602385,113.2805793898312,113.42018706275638,113.42018706275638,117.8554309158304,118.20514999638414,118.20514999638414,58.98910661391396,66.04789591541552,58.57474222187177,160.9278843227227,162.47273416571576,162.47273416571576,219.54,0.09223316458893294,16
8,4,az5a,az3a,5,3,3,request,1,1,216.4848229169577,215.9394623922798,215.9394623922798,219.58282370041616,219.12830387933636,219.12830387933636,220.62720614438263,234.89539517938906,220.49975642454916,0.0,0.0,0.0,440.071198438989,440.53139668098095,440.53139668098095,440.34,0.18118974911678265,16
9,7,az5b,az4b,5,4,2,request,1,1,119.45021981687412,123.69671124133788,123.69671124133788,122.72516337268443,130.47027218064383,130.47027218064383,127.51366331781148,133.11867528756412,133.11867528756412,70.17930061816814,80.485541638939,80.485541638939,168.55907745945944,174.11978539579582,166.02163053948948,256.565,1.1349508101787364,16
9,11,az5b,az6b,5,6,2,request,2,1,291.486763553126,291.0132557537795,291.0132557537795,295.5822682839664,293.02375818063507,293.02375818063507,301.9361790013853,299.94331159739056,295.2827164106798,240.87374856571574,253.76130572772783,253.76130572772783,345.03506164859857,329.05326963363353,329.05326963363353,579.291,0.6579354280833627,16
11,0,az6b,az1a,6,1,2,request,1,1,225.34444394158757,226.55225520841597,226.55225520841597,229.64304119293004,230.01135015335808,230.01135015335808,233.7305390324516,245.13577602880034,241.68121305926232,187.6886807830831,184.58183691206204,172.91376959569578,264.956000747047,280.0051533501502,280.0051533501502,469.79600000000005,0.356514236058473,16
10,2,az6a,az2a,6,2,2,request,1,1,297.43054889356057,297.4291962985593,297.4291962985593,299.52971409539606,299.7120728395352,299.7120728395352,301.3606296882207,301.81402292268245,301.81402292268245,240.23648325860864,252.68783859634632,252.68783859634632,353.4691881011512,342.61483608653657,342.61483608653657,758.4225,0.9161142529890185,16
11,4,az6b,az3a,6,3,2,request,1,1,175.89074324795257,176.41508296078882,176.41508296078882,177.4986002028041,178.57373151613538,178.57373151613538,178.3108459817681,183.09598166126597,180.9822541019619,0.0,0.0,0.0,355.33444091496494,358.496233526026,356.0776018344845,358.345,0.1031700907559241,16
11,6,az6b,az4a,6,4,0,request,1,1,386.24381937918474,387.9048284565423,386.4903852420119,388.758113669264,390.9453484965239,390.1960485870033,394.38090375039985,401.4559029826009,401.4559029826009,348.9791815047047,348.8932944203703,348.8932944203703,425.9926209671171,434.3672303664163,425.6735975300801,792.26925,2.364210616297669,16
11,9,az6b,az5b,6,5,0,request,1,1,289.490335905028,290.89207391666025,290.89207391666025,292.0743932980599,293.3423820461898,293.3423820461898,300.86307950604356,299.65927443030597,299.65927443030597,249.20386538678684,247.36677672682663,235.30225743838838,330.0785607045044,346.5813664042542,346.5813664042542,581.4780000000001,0.7544337989186829,16
