name,family_index,per_family_instance_index,run_name,run_type,repetitions,repetition_index,threads,iterations,real_time,cpu_time,time_unit,items_per_iteration,items_per_second,unit_bytes,fraction_R_0,fraction_R_1,fraction_R_AC,fraction_W_A,fraction_W_AB,fraction_W_AC,fraction_W_all,binding_bytes
mixture/b2-A0s0-B0s1-C1s0-D1s3/90/word,12,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/90/word,iteration,3,0,1,23196,1180.5097430576975,1179.0915675116346,ns,256.0,217116301.2727372,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/90/word,12,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/90/word,iteration,3,1,1,23196,1158.4085187099713,1158.1487756509755,ns,256.0,221042413.01477593,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s0-D1s3/90/word,12,0,mixture/b2-A0s0-B0s1-C1s0-D1s3/90/word,iteration,3,2,1,23196,1151.1946456293128,1151.1163993792002,ns,256.0,222392800.70899987,,0.025146484375,0.0262451171875,0.0504150390625,0.3653564453125,0.08935546875,0.354248046875,0.0892333984375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/5/bytes,13,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/5/bytes,iteration,3,0,1,40429,657.3658759795534,657.1516980385392,ns,256.0,389559976.4317838,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/5/bytes,13,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/5/bytes,iteration,3,1,1,40429,642.0934972423153,642.1079175839087,ns,256.0,398686876.44167954,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/5/bytes,13,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/5/bytes,iteration,3,2,1,40429,636.7883202659052,636.6591060872133,ns,256.0,402099015.8663208,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/5/word,14,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/5/word,iteration,3,0,1,20448,1368.9875782469064,1368.685886150241,ns,256.0,187040724.67647177,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/5/word,14,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/5/word,iteration,3,1,1,20448,1367.7228090748838,1367.7573356807561,ns,256.0,187167703.8914103,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/5/word,14,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/5/word,iteration,3,2,1,20448,1368.9292840365504,1368.6604557902951,ns,256.0,187044199.98178428,,0.2333984375,0.2396240234375,0.477783203125,0.02099609375,0.0050048828125,0.017578125,0.005615234375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/50/bytes,15,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/50/bytes,iteration,3,0,1,29382,931.1209584087546,930.7718330950966,ns,256.0,275040553.3316612,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/50/bytes,15,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/50/bytes,iteration,3,1,1,29382,935.319345178328,935.3428629773326,ns,256.0,273696427.4096396,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/50/bytes,15,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/50/bytes,iteration,3,2,1,29382,932.0152133961218,931.8014090259342,ns,256.0,274736652.59597707,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
mixture/b2-A0s0-B0s1-C1s5-D1s0/50/word,16,0,mixture/b2-A0s0-B0s1-C1s5-D1s0/50/word,iteration,3,0,1,21854,1279.7254507196847,1279.4548366431807,ns,256.0,200085218.06963497,,0.127197265625,0.12744140625,0.2501220703125,0.2025146484375,0.04833984375,0.19384765625,0.050537109375,
