input,case,threads,repetitions,cpu_ns,median_cpu_ns,real_ns,median_real_ns,ns_per_item,median_ns_per_item,counter:metadata_bytes,counter:selected_blocks,counter:original_blocks,counter:body_bytes
neoverse-v2,count/census-income/direct4/cp16/point/shared/masked25,1,5,"[3186.6966317705396,3186.3436504323536,3186.287437414701,3183.402366863858,3185.6941283568217]",3186.287437414701,"[3187.3598088272274,3188.195038701869,3186.9035047635584,3183.308375053417,3187.0860263942004]",3187.0860263942004,,,1024.0,62.0,256.0,377.0
neoverse-v2,count/census-income/direct4/cp16/point/shared/scan,1,5,"[12753.681447964158,12744.463348416324,12757.07058823555,12750.496832579285,12745.688687782951]",12750.496832579285,"[12756.389140233452,12744.125791873126,12764.590950182002,12750.154751178574,12745.313122185224]",12750.154751178574,,,1024.0,256.0,256.0,377.0
neoverse-v2,count/census-income/direct4/cp16/point/shared/sparse17,1,5,"[815.1865719443387,813.9580154894161,814.8684562976883,814.5329295987864,813.8579747277531]",814.5329295987864,"[817.2340883929305,813.937809348315,814.8443486888141,814.9255808505167,813.8380597502913]",814.8443486888141,,,1024.0,16.0,256.0,377.0
neoverse-v2,count/census-income/series_local/cp16/native16/cps/masked25,1,5,"[3847.3826039086257,3850.624277456686,3848.6083126892063,3847.4142581887645,3846.9232039638036]",3847.4142581887645,"[3847.260666099967,3852.867877772158,3848.4998623632014,3847.29810076921,3846.807872266344]",3847.29810076921,,,544.0,62.0,256.0,377.0
neoverse-v2,count/census-income/series_local/cp16/native16/cps/scan,1,5,"[14701.077405857915,14710.943514644212,14708.314853557176,14701.481171548254,14695.304393305489]",14701.481171548254,"[14700.638075261839,14749.199790795808,14716.27092054325,14706.172594187745,14694.925732164924]",14706.172594187745,,,544.0,256.0,256.0,377.0
neoverse-v2,count/census-income/series_local/cp16/native16/cps/sparse17,1,5,"[1092.0134280584043,1093.7294090093396,1092.7927238660325,1094.0485596064946,1093.1209305957195]",1093.1209305957195,"[1092.6096494665758,1095.7087204357683,1092.763759861028,1094.5866187885617,1093.0903271085563]",1093.0903271085563,,,544.0,16.0,256.0,377.0
neoverse-v2,count/census-income/series_local/cp16/native16/cps_fused/masked25,1,5,"[3819.319562243482,3824.941723666261,3825.719562243515,3824.466484268222,3822.733515731956]",3824.466484268222,"[3819.2120383202923,3824.8257181912677,3825.612859105808,3835.831463748061,3822.6454172428193]",3824.8257181912677,,,544.0,62.0,256.0,377.0
neoverse-v2,count/census-income/series_local/cp16/native16/cps_fused/scan,1,5,"[14598.704049844067,14581.112149532373,14611.271028037572,14600.573208723199,14592.020768431295]",14598.704049844067,"[14607.975077875648,14580.771547348786,14741.006230525742,14611.62409138929,14591.681204517214]",14607.975077875648,,,544.0,256.0,256.0,377.0
neoverse-v2,count/census-income/series_local/cp16/native16/cps_fused/sparse17,1,5,"[1086.132416899639,1085.268406337327,1085.4898260329942,1086.8091022056817,1086.2089934762746]",1086.132416899639,"[1086.100807699552,1085.9684684682663,1085.6974992280548,1086.7744641156946,1086.1757533369048]",1086.100807699552,,,544.0,16.0,256.0,377.0
neoverse-v2,count/census-income/series_local/cp16/native16/inline/masked25,1,5,"[3892.5315892012436,3894.7982187587595,3891.625939326454,3894.409685499633,3894.7767881992954]",3894.409685499633,"[3892.405510715373,3897.384358472555,3891.5190648254925,3894.2947397581156,3895.3924297146114]",3894.2947397581156,,,544.0,62.0,256.0,377.0
neoverse-v2,count/census-income/series_local/cp16/native16/inline/scan,1,5,"[15419.834792122354,15431.969365426716,15421.899343544956,15416.343544857813,15421.722100656463]",15421.722100656463,"[15419.37746171832,15441.310722135055,15421.50984680132,15415.882932191886,15421.256017427559]",15421.256017427559,,,544.0,256.0,256.0,377.0
neoverse-v2,count/census-income/series_local/cp16/native16/inline/sparse17,1,5,"[1095.384258166068,1094.9871704053453,1094.3621408894232,1095.0948445493789,1095.6751672569637]",1095.0948445493789,"[1096.0499016184112,1094.9589138127922,1094.3290043234758,1095.6113341192115,1098.0069264126573]",1095.6113341192115,,,544.0,16.0,256.0,377.0
neoverse-v2,count/census-income/series_local/cp16/native16/materialized/masked25,1,5,"[3905.770519262851,3903.8414293692554,3903.8149078726738,3904.074539363619,3905.5784477946227]",3904.074539363619,"[3907.9254606540107,3903.7364600892597,3903.6940256677512,3903.961194878013,3907.3604131715424]",3903.961194878013,,,544.0,62.0,256.0,377.0
neoverse-v2,count/census-income/series_local/cp16/native16/materialized/scan,1,5,"[15455.396929823793,15462.498903509348,15449.765350876954,15453.789473684836,15460.084429825009]",15455.396929823793,"[15454.93421043662,15471.718201802943,15449.353070145957,15453.313596462218,15466.17543854872]",15454.93421043662,,,544.0,256.0,256.0,377.0
neoverse-v2,count/census-income/series_local/cp16/native16/materialized/sparse17,1,5,"[1097.539764705885,1096.937490196126,1097.8792941176691,1097.3669019608344,1097.4564705882426]",1097.4564705882426,"[1097.5075294089609,1096.9039215649223,1098.4441568700063,1097.3413333315466,1097.4243921594405]",1097.4243921594405,,,544.0,16.0,256.0,377.0
